CASENUM,STRM,Subject,CatalogNbr,TITLE,Grade
26,SPRING 13,MA,112,College Math for Aviation II,F
26,FALL 13,MA,112,College Math for Aviation II,D
27,FALL 12,MA,241,Calculus & Analytical Geom I,C
27,SPRING 13,MA,242,Calculus & Analytical Geom II,D
27,SUMMER 13,MA,242,Calculus & Analytical Geom II,A
27,FALL 13,MA,243HON,Calc & Analytical Geometry III,B
27,SPRING 14,MA,345HON,Differential Eq & Matrix Meth,D
27,FALL 14,MA,345,Differential Eq & Matrix Meth,D
27,SPRING 15,MA,441,Math Methods Engr & Physics I,B
28,FALL 12,MA,6,Intermediate Algebra,C
28,SPRING 13,MA,111,College Math for Aviation I,F
29,FALL 12,MA,6,Intermediate Algebra,A
29,SPRING 13,MA,111,College Math for Aviation I,B
29,FALL 13,MA,112,College Math for Aviation II,D
30,FALL 12,MA,6,Intermediate Algebra,F
32,FALL 12,MA,112,College Math for Aviation II,B
32,SPRING 13,MA,222HON,Business Statistics,B
33,FALL 12,MA,241,Calculus & Analytical Geom I,A
33,SPRING 13,MA,242,Calculus & Analytical Geom II,B
33,SUMMER 13,MA,243,Calculus & Analytical Geom III,A
33,FALL 13,MA,345HON,Differential Eq & Matrix Meth,A
33,SPRING 14,MA,441,Math Methods Engr & Physics I,B
34,FALL 12,MA,143,Precalculus Essentials,B
34,SPRING 13,MA,241,Calculus & Analytical Geom I,C
34,SUMMER 13,MA,242,Calculus & Analytical Geom II,B
34,FALL 13,MA,243,Calculus & Analytical Geom III,B
34,SPRING 14,MA,345,Differential Eq & Matrix Meth,C
34,FALL 14,MA,441,Math Methods Engr & Physics I,A
35,FALL 12,MA,241,Calculus & Analytical Geom I,A
35,SPRING 13,MA,242,Calculus & Analytical Geom II,C
35,FALL 13,MA,345,Differential Eq & Matrix Meth,A
35,SPRING 14,MA,441,Math Methods Engr & Physics I,A
36,FALL 12,MA,241,Calculus & Analytical Geom I,D
36,SPRING 13,MA,241,Calculus & Analytical Geom I,C
36,FALL 13,MA,242,Calculus & Analytical Geom II,D
36,SPRING 14,MA,243,Calculus & Analytical Geom III,B
36,SUMMER 14,MA,242,Calculus & Analytical Geom II,B
36,FALL 14,MA,345,Differential Eq & Matrix Meth,F
36,SPRING 15,MA,345,Differential Eq & Matrix Meth,F
37,FALL 12,MA,111,College Math for Aviation I,D
37,FALL 13,MA,111,College Math for Aviation I,C
39,FALL 12,MA,112,College Math for Aviation II,A
41,FALL 12,MA,241,Calculus & Analytical Geom I,A
41,SPRING 13,MA,242,Calculus & Analytical Geom II,B
41,FALL 13,MA,243,Calculus & Analytical Geom III,B
41,SPRING 14,MA,345,Differential Eq & Matrix Meth,D
42,FALL 12,MA,143,Precalculus Essentials,B
42,SPRING 13,MA,241,Calculus & Analytical Geom I,C
43,FALL 12,MA,112,College Math for Aviation II,C
44,FALL 12,MA,143,Precalculus Essentials,B
44,SPRING 13,MA,241,Calculus & Analytical Geom I,F
44,FALL 13,MA,241,Calculus & Analytical Geom I,D
44,SPRING 14,MA,241,Calculus & Analytical Geom I,C
44,FALL 14,MA,242,Calculus & Analytical Geom II,F
44,SPRING 15,MA,242,Calculus & Analytical Geom II,W
44,SUMMER 15,MA,242,Calculus & Analytical Geom II,C
45,FALL 12,MA,6,Intermediate Algebra,C
47,FALL 12,MA,241,Calculus & Analytical Geom I,B
47,SPRING 13,MA,242,Calculus & Analytical Geom II,C
48,FALL 12,MA,241,Calculus & Analytical Geom I,C
48,SPRING 13,MA,242,Calculus & Analytical Geom II,F
48,FALL 13,MA,242,Calculus & Analytical Geom II,C
48,SPRING 14,MA,243,Calculus & Analytical Geom III,F
49,FALL 12,MA,4,Beginning Algebra,F
49,SPRING 13,MA,4,Beginning Algebra,F
50,FALL 12,MA,111,College Math for Aviation I,B
50,SPRING 13,MA,112,College Math for Aviation II,D
51,FALL 12,MA,143,Precalculus Essentials,D
51,SPRING 13,MA,241,Calculus & Analytical Geom I,F
51,SUMMER 13,MA,241,Calculus & Analytical Geom I,C
52,FALL 12,MA,242,Calculus & Analytical Geom II,C
53,FALL 12,MA,4,Beginning Algebra,B
53,SPRING 13,MA,6,Intermediate Algebra,F
53,FALL 13,MA,111,College Math for Aviation I,W
53,SPRING 14,MA,111,College Math for Aviation I,C
53,FALL 14,MA,112,College Math for Aviation II,D
53,SPRING 15,MA,112,College Math for Aviation II,B
54,FALL 12,MA,112,College Math for Aviation II,AU
54,SPRING 13,MA,112,College Math for Aviation II,F
54,FALL 13,MA,111,College Math for Aviation I,C
54,SPRING 14,MA,112,College Math for Aviation II,F
54,SPRING 15,MA,222,Business Statistics,C
57,FALL 12,MA,241,Calculus & Analytical Geom I,B
57,SPRING 13,MA,242,Calculus & Analytical Geom II,B
58,FALL 12,MA,6,Intermediate Algebra,F
58,SPRING 13,MA,111,College Math for Aviation I,NS
58,SPRING 13,MA,6,Intermediate Algebra,F
58,FALL 13,MA,6,Intermediate Algebra,C
58,SPRING 14,MA,111,College Math for Aviation I,F
58,FALL 14,MA,111,College Math for Aviation I,C
59,FALL 12,MA,6,Intermediate Algebra,A
59,SPRING 13,MA,111,College Math for Aviation I,B
59,FALL 13,MA,112,College Math for Aviation II,D
61,FALL 12,MA,241,Calculus & Analytical Geom I,B
61,SPRING 13,MA,242,Calculus & Analytical Geom II,F
61,FALL 13,MA,242,Calculus & Analytical Geom II,B
62,FALL 12,MA,112,College Math for Aviation II,C
63,FALL 12,MA,112,College Math for Aviation II,A
63,SPRING 13,MA,222,Business Statistics,B
64,FALL 12,MA,243,Calculus & Analytical Geom III,D
64,SPRING 13,MA,243,Calculus & Analytical Geom III,A
64,FALL 13,MA,345,Differential Eq & Matrix Meth,B
64,SPRING 14,MA,441,Math Methods Engr & Physics I,B
64,SPRING 14,MA,395BHY,Math  Modeling & Simulation,A
65,FALL 12,MA,241,Calculus & Analytical Geom I,A
65,SPRING 13,MA,242,Calculus & Analytical Geom II,B
65,FALL 13,MA,243HON,Calc & Analytical Geometry III,A
65,SPRING 14,MA,345HON,Differential Eq & Matrix Meth,B
65,FALL 14,MA,441HON,Math Methods Engr & Physics I,A
66,FALL 12,MA,243HON,Calc & Analytical Geometry III,C
66,SPRING 13,MA,345,Differential Eq & Matrix Meth,A
66,FALL 13,MA,441,Math Methods Engr & Physics I,W
67,FALL 12,MA,4,Beginning Algebra,C
67,SPRING 13,MA,111,College Math for Aviation I,B
67,FALL 13,MA,112,College Math for Aviation II,B
68,FALL 12,MA,6,Intermediate Algebra,A
68,SPRING 13,MA,111,College Math for Aviation I,B
68,FALL 13,MA,112,College Math for Aviation II,C
69,FALL 12,MA,242,Calculus & Analytical Geom II,C
69,SPRING 13,MA,243,Calculus & Analytical Geom III,B
69,FALL 13,MA,345,Differential Eq & Matrix Meth,B
69,SPRING 14,MA,412,Probability and Statistics,A
70,FALL 12,MA,242,Calculus & Analytical Geom II,B
70,SPRING 13,MA,243HON,Calc & Analytical Geometry III,B
70,FALL 13,MA,345HON,Differential Eq & Matrix Meth,A
70,SPRING 14,MA,412,Probability and Statistics,A
70,SPRING 15,MA,441HON,Math Methods Engr & Physics I,C
71,FALL 12,MA,242,Calculus & Analytical Geom II,C
71,SPRING 13,MA,243,Calculus & Analytical Geom III,B
71,FALL 13,MA,345,Differential Eq & Matrix Meth,B
71,SUMMER 14,MA,441,Math Methods Engr & Physics I,C
72,FALL 12,MA,4,Beginning Algebra,F
72,SPRING 13,MA,143,Precalculus Essentials,C
72,SUMMER 13,MA,4,Beginning Algebra,B
72,SUMMER 13,MA,241,Calculus & Analytical Geom I,FX
72,FALL 13,MA,241,Calculus & Analytical Geom I,F
73,FALL 12,MA,4,Beginning Algebra,B
73,SPRING 13,MA,111,College Math for Aviation I,D
73,SUMMER 13,MA,112,College Math for Aviation II,B
74,FALL 12,MA,241,Calculus & Analytical Geom I,A
74,SPRING 13,MA,242,Calculus & Analytical Geom II,B
74,FALL 13,MA,243,Calculus & Analytical Geom III,C
74,SPRING 14,MA,345,Differential Eq & Matrix Meth,A
74,FALL 14,MA,441,Math Methods Engr & Physics I,A
74,SPRING 15,MA,412,Probability and Statistics,B
75,FALL 12,MA,6,Intermediate Algebra,B
75,SPRING 13,MA,111,College Math for Aviation I,W
76,FALL 12,MA,242,Calculus & Analytical Geom II,A
76,SPRING 13,MA,243,Calculus & Analytical Geom III,C
76,FALL 13,MA,345,Differential Eq & Matrix Meth,B
76,FALL 14,MA,441,Math Methods Engr & Physics I,B
76,SPRING 15,MA,348,Numerical Analysis I,C
77,FALL 12,MA,111,College Math for Aviation I,D
77,SPRING 13,MA,111,College Math for Aviation I,C
77,FALL 13,MA,112,College Math for Aviation II,F
77,SPRING 14,MA,112,College Math for Aviation II,F
78,FALL 12,MA,241,Calculus & Analytical Geom I,B
78,SPRING 13,MA,242,Calculus & Analytical Geom II,C
78,FALL 13,MA,243,Calculus & Analytical Geom III,B
78,SPRING 14,MA,345,Differential Eq & Matrix Meth,C
78,SPRING 15,MA,441,Math Methods Engr & Physics I,D
79,FALL 12,MA,241,Calculus & Analytical Geom I,W
79,SPRING 13,MA,111,College Math for Aviation I,A
79,FALL 13,MA,112,College Math for Aviation II,B
80,FALL 12,MA,143,Precalculus Essentials,B
80,SPRING 13,MA,241,Calculus & Analytical Geom I,C
80,FALL 13,MA,242,Calculus & Analytical Geom II,C
80,SPRING 14,MA,243,Calculus & Analytical Geom III,B
80,FALL 14,MA,345,Differential Eq & Matrix Meth,C
81,FALL 12,MA,143,Precalculus Essentials,AU
82,FALL 12,MA,241,Calculus & Analytical Geom I,C
82,SPRING 13,MA,241,Calculus & Analytical Geom I,C
82,FALL 13,MA,242,Calculus & Analytical Geom II,C
82,SPRING 14,MA,243,Calculus & Analytical Geom III,B
83,FALL 12,MA,241,Calculus & Analytical Geom I,F
83,SPRING 13,MA,241,Calculus & Analytical Geom I,C
83,FALL 13,MA,242,Calculus & Analytical Geom II,F
83,SPRING 14,MA,242,Calculus & Analytical Geom II,B
83,FALL 14,MA,243,Calculus & Analytical Geom III,D
83,SPRING 15,MA,222,Business Statistics,A
84,FALL 12,MA,112,College Math for Aviation II,A
85,FALL 12,MA,143,Precalculus Essentials,B
85,SPRING 13,MA,241,Calculus & Analytical Geom I,W
86,FALL 12,MA,242,Calculus & Analytical Geom II,D
86,SPRING 13,MA,242,Calculus & Analytical Geom II,F
87,FALL 12,MA,6,Intermediate Algebra,A
87,SPRING 13,MA,111,College Math for Aviation I,A
87,FALL 13,MA,112,College Math for Aviation II,W
87,SPRING 14,MA,112,College Math for Aviation II,C
88,FALL 12,MA,241,Calculus & Analytical Geom I,FX
88,SPRING 13,MA,241,Calculus & Analytical Geom I,F
89,FALL 12,MA,220,Quantitative Methods II,B
89,SPRING 13,MA,222,Business Statistics,C
90,FALL 12,MA,4,Beginning Algebra,F
90,SPRING 13,MA,4,Beginning Algebra,B
90,FALL 13,MA,111,College Math for Aviation I,W
90,SPRING 14,MA,111,College Math for Aviation I,C
90,FALL 14,MA,112,College Math for Aviation II,AU
90,SPRING 15,MA,112,College Math for Aviation II,F
90,SUMMER 15,MA,112,College Math for Aviation II,C
91,FALL 12,MA,241,Calculus & Analytical Geom I,B
91,SPRING 13,MA,242,Calculus & Analytical Geom II,B
91,FALL 13,MA,243,Calculus & Analytical Geom III,C
91,SPRING 14,MA,345,Differential Eq & Matrix Meth,C
91,SPRING 15,MA,441,Math Methods Engr & Physics I,D
92,FALL 12,MA,241,Calculus & Analytical Geom I,C
92,SPRING 13,MA,242,Calculus & Analytical Geom II,F
92,FALL 14,MA,242,Calculus & Analytical Geom II,F
93,FALL 12,MA,241,Calculus & Analytical Geom I,B
93,SPRING 13,MA,242,Calculus & Analytical Geom II,C
94,FALL 12,MA,143,Precalculus Essentials,A
94,SPRING 13,MA,241,Calculus & Analytical Geom I,B
94,FALL 13,MA,242,Calculus & Analytical Geom II,B
94,SPRING 14,MA,243,Calculus & Analytical Geom III,B
94,FALL 14,MA,345,Differential Eq & Matrix Meth,C
95,SPRING 13,MA,222HON,Business Statistics,A
96,FALL 12,MA,111,College Math for Aviation I,F
97,FALL 12,MA,243HON,Calc & Analytical Geometry III,D
97,SPRING 13,MA,243HON,Calc & Analytical Geometry III,A
97,FALL 13,MA,345HON,Differential Eq & Matrix Meth,A
97,SPRING 14,MA,441,Math Methods Engr & Physics I,A
98,FALL 12,MA,6,Intermediate Algebra,A
99,FALL 12,MA,143,Precalculus Essentials,B
99,SPRING 13,MA,241,Calculus & Analytical Geom I,AU
99,FALL 13,MA,241,Calculus & Analytical Geom I,B
99,SPRING 14,MA,242,Calculus & Analytical Geom II,C
99,SUMMER 14,MA,243,Calculus & Analytical Geom III,D
99,SPRING 15,MA,345,Differential Eq & Matrix Meth,W
100,FALL 12,MA,111,College Math for Aviation I,C
100,SPRING 13,MA,112,College Math for Aviation II,D
101,FALL 12,MA,6,Intermediate Algebra,B
101,SPRING 13,MA,111,College Math for Aviation I,B
101,SPRING 14,MA,112,College Math for Aviation II,B
103,FALL 12,MA,143,Precalculus Essentials,A
103,SPRING 13,MA,241,Calculus & Analytical Geom I,B
103,FALL 13,MA,242,Calculus & Analytical Geom II,B
103,SPRING 14,MA,243,Calculus & Analytical Geom III,A
103,FALL 14,MA,345,Differential Eq & Matrix Meth,A
104,FALL 12,MA,112,College Math for Aviation II,B
105,FALL 12,MA,6,Intermediate Algebra,B
105,SPRING 13,MA,111,College Math for Aviation I,D
105,FALL 13,MA,112,College Math for Aviation II,AU
105,SUMMER 14,MA,112,College Math for Aviation II,B
105,FALL 14,MA,222,Business Statistics,D
106,FALL 12,MA,241,Calculus & Analytical Geom I,B
106,SPRING 13,MA,242,Calculus & Analytical Geom II,C
106,FALL 13,MA,243,Calculus & Analytical Geom III,C
106,SPRING 14,MA,345,Differential Eq & Matrix Meth,A
106,FALL 14,MA,441,Math Methods Engr & Physics I,A
107,FALL 12,MA,241,Calculus & Analytical Geom I,B
107,SPRING 13,MA,242,Calculus & Analytical Geom II,C
107,FALL 13,MA,243,Calculus & Analytical Geom III,C
107,SPRING 14,MA,345,Differential Eq & Matrix Meth,B
107,FALL 14,MA,441,Math Methods Engr & Physics I,A
108,FALL 12,MA,143,Precalculus Essentials,A
108,SPRING 13,MA,241,Calculus & Analytical Geom I,A
108,FALL 13,MA,242,Calculus & Analytical Geom II,C
109,FALL 12,MA,242,Calculus & Analytical Geom II,A
109,SPRING 13,MA,243HON,Calc & Analytical Geometry III,A
109,FALL 13,MA,345HON,Differential Eq & Matrix Meth,A
109,SPRING 14,MA,441,Math Methods Engr & Physics I,A
110,FALL 12,MA,112,College Math for Aviation II,B
111,FALL 12,MA,4,Beginning Algebra,A
111,SPRING 13,MA,111,College Math for Aviation I,C
111,SUMMER 13,MA,112,College Math for Aviation II,C
112,FALL 12,MA,241,Calculus & Analytical Geom I,F
113,FALL 12,MA,243HON,Calc & Analytical Geometry III,A
113,SPRING 13,MA,345HON,Differential Eq & Matrix Meth,A
113,FALL 13,MA,441,Math Methods Engr & Physics I,A
114,FALL 12,MA,345,Differential Eq & Matrix Meth,A
114,SPRING 13,MA,441,Math Methods Engr & Physics I,A
114,SPRING 14,MA,442,Math Methods Engr & Physics II,C
115,FALL 12,MA,112,College Math for Aviation II,C
116,FALL 12,MA,241,Calculus & Analytical Geom I,A
116,SPRING 13,MA,242,Calculus & Analytical Geom II,A
116,FALL 13,MA,243HON,Calc & Analytical Geometry III,B
116,SPRING 14,MA,345HON,Differential Eq & Matrix Meth,B
116,FALL 14,MA,441,Math Methods Engr & Physics I,A
117,FALL 12,MA,112,College Math for Aviation II,B
118,FALL 12,MA,241,Calculus & Analytical Geom I,F
118,SPRING 13,MA,241,Calculus & Analytical Geom I,F
118,SUMMER 13,MA,241,Calculus & Analytical Geom I,B
118,FALL 13,MA,242,Calculus & Analytical Geom II,F
118,SPRING 14,MA,242,Calculus & Analytical Geom II,F
118,SUMMER 14,MA,242,Calculus & Analytical Geom II,B
118,FALL 14,MA,243,Calculus & Analytical Geom III,F
118,SPRING 15,MA,243,Calculus & Analytical Geom III,C
119,FALL 12,MA,241,Calculus & Analytical Geom I,C
119,SPRING 15,MA,222,Business Statistics,A
120,FALL 12,MA,6,Intermediate Algebra,A
120,SPRING 13,MA,111,College Math for Aviation I,A
120,FALL 13,MA,112,College Math for Aviation II,B
121,FALL 12,MA,241,Calculus & Analytical Geom I,D
121,SPRING 13,MA,242,Calculus & Analytical Geom II,C
121,SPRING 14,MA,345,Differential Eq & Matrix Meth,C
122,FALL 12,MA,243HON,Calc & Analytical Geometry III,C
122,SPRING 13,MA,345,Differential Eq & Matrix Meth,A
122,FALL 13,MA,441,Math Methods Engr & Physics I,B
123,FALL 12,MA,111,College Math for Aviation I,B
123,SPRING 13,MA,112,College Math for Aviation II,F
123,SUMMER 13,MA,112,College Math for Aviation II,D
124,FALL 12,MA,6,Intermediate Algebra,A
124,SPRING 13,MA,111,College Math for Aviation I,D
124,FALL 13,MA,112,College Math for Aviation II,D
125,FALL 12,MA,111,College Math for Aviation I,W
126,FALL 12,MA,6,Intermediate Algebra,B
126,SPRING 13,MA,111,College Math for Aviation I,B
126,SPRING 14,MA,112,College Math for Aviation II,C
127,FALL 12,MA,112,College Math for Aviation II,D
128,FALL 12,MA,241,Calculus & Analytical Geom I,C
128,SPRING 13,MA,242,Calculus & Analytical Geom II,C
128,FALL 13,MA,243,Calculus & Analytical Geom III,B
128,SPRING 14,MA,345,Differential Eq & Matrix Meth,W
128,SPRING 15,MA,345,Differential Eq & Matrix Meth,F
129,FALL 12,MA,242,Calculus & Analytical Geom II,C
129,SPRING 13,MA,243HON,Calc & Analytical Geometry III,C
129,FALL 13,MA,345HON,Differential Eq & Matrix Meth,A
129,SPRING 14,MA,441,Math Methods Engr & Physics I,A
130,FALL 12,MA,111,College Math for Aviation I,W
130,SPRING 13,MA,111,College Math for Aviation I,F
130,FALL 13,MA,111,College Math for Aviation I,D
130,SPRING 14,MA,112,College Math for Aviation II,F
130,FALL 14,MA,112,College Math for Aviation II,F
130,SPRING 15,MA,112,College Math for Aviation II,F
130,SUMMER 15,MA,112,College Math for Aviation II,B
131,FALL 12,MA,241,Calculus & Analytical Geom I,C
132,FALL 12,MA,242,Calculus & Analytical Geom II,A
132,SPRING 13,MA,243,Calculus & Analytical Geom III,A
132,FALL 13,MA,345,Differential Eq & Matrix Meth,A
132,SPRING 14,MA,441,Math Methods Engr & Physics I,A
133,FALL 12,MA,243HON,Calc & Analytical Geometry III,A
133,SPRING 13,MA,345HON,Differential Eq & Matrix Meth,B
133,FALL 13,MA,441,Math Methods Engr & Physics I,A
133,SPRING 14,MA,432,Linear Algebra,A
134,FALL 12,MA,4,Beginning Algebra,F
134,FALL 13,MA,4,Beginning Algebra,C
134,SPRING 14,MA,111,College Math for Aviation I,F
134,SUMMER 14,MA,111,College Math for Aviation I,C
134,FALL 14,MA,112,College Math for Aviation II,D
135,FALL 12,MA,111,College Math for Aviation I,A
135,SPRING 13,MA,112,College Math for Aviation II,C
136,FALL 12,MA,241,Calculus & Analytical Geom I,D
136,SPRING 13,MA,241,Calculus & Analytical Geom I,B
136,FALL 13,MA,243,Calculus & Analytical Geom III,AU
136,SPRING 14,MA,243,Calculus & Analytical Geom III,F
136,SUMMER 14,MA,243,Calculus & Analytical Geom III,C
136,FALL 14,MA,345,Differential Eq & Matrix Meth,F
136,SPRING 15,MA,345,Differential Eq & Matrix Meth,B
136,SUMMER 15,MA,412,Probability and Statistics,C
137,FALL 12,MA,241,Calculus & Analytical Geom I,A
137,SPRING 13,MA,242,Calculus & Analytical Geom II,C
137,FALL 13,MA,243,Calculus & Analytical Geom III,A
137,SPRING 14,MA,345,Differential Eq & Matrix Meth,A
137,FALL 14,MA,441,Math Methods Engr & Physics I,A
138,FALL 12,MA,241,Calculus & Analytical Geom I,C
138,SPRING 13,MA,242,Calculus & Analytical Geom II,C
138,FALL 13,MA,243,Calculus & Analytical Geom III,B
138,SPRING 14,MA,345,Differential Eq & Matrix Meth,A
138,FALL 14,MA,441,Math Methods Engr & Physics I,A
139,FALL 12,MA,241,Calculus & Analytical Geom I,D
139,SPRING 13,MA,241,Calculus & Analytical Geom I,C
139,FALL 13,MA,242,Calculus & Analytical Geom II,D
140,FALL 12,MA,241,Calculus & Analytical Geom I,W
140,FALL 13,MA,111,College Math for Aviation I,D
140,SPRING 15,MA,112,College Math for Aviation II,F
141,FALL 12,MA,112,College Math for Aviation II,B
142,FALL 12,MA,242,Calculus & Analytical Geom II,D
142,SPRING 13,MA,242,Calculus & Analytical Geom II,D
143,FALL 12,MA,241,Calculus & Analytical Geom I,B
143,SPRING 13,MA,242,Calculus & Analytical Geom II,B
143,FALL 13,MA,243,Calculus & Analytical Geom III,B
143,SPRING 14,MA,345,Differential Eq & Matrix Meth,A
143,FALL 14,MA,441,Math Methods Engr & Physics I,A
144,FALL 12,MA,112,College Math for Aviation II,C
145,FALL 12,MA,243,Calculus & Analytical Geom III,C
145,SPRING 13,MA,345,Differential Eq & Matrix Meth,B
146,FALL 12,MA,4,Beginning Algebra,F
147,FALL 12,MA,111,College Math for Aviation I,A
147,SPRING 13,MA,112,College Math for Aviation II,B
148,FALL 12,MA,241,Calculus & Analytical Geom I,B
148,SPRING 13,MA,242,Calculus & Analytical Geom II,B
148,SUMMER 13,MA,243,Calculus & Analytical Geom III,A
148,FALL 13,MA,345,Differential Eq & Matrix Meth,B
148,SPRING 14,MA,441,Math Methods Engr & Physics I,B
149,FALL 12,MA,242,Calculus & Analytical Geom II,A
149,SPRING 13,MA,243,Calculus & Analytical Geom III,B
149,FALL 13,MA,345,Differential Eq & Matrix Meth,A
149,SPRING 14,MA,441,Math Methods Engr & Physics I,A
150,FALL 12,MA,241,Calculus & Analytical Geom I,A
150,SPRING 13,MA,242,Calculus & Analytical Geom II,C
151,FALL 12,MA,6,Intermediate Algebra,B
151,SPRING 13,MA,111,College Math for Aviation I,C
151,FALL 13,MA,112,College Math for Aviation II,B
152,FALL 12,MA,241,Calculus & Analytical Geom I,C
153,FALL 12,MA,111,College Math for Aviation I,B
153,SPRING 13,MA,112,College Math for Aviation II,F
154,FALL 12,MA,241,Calculus & Analytical Geom I,D
155,FALL 12,MA,242,Calculus & Analytical Geom II,A
155,SPRING 13,MA,243HON,Calc & Analytical Geometry III,A
156,FALL 12,MA,6,Intermediate Algebra,A
156,SPRING 13,MA,111,College Math for Aviation I,D
156,FALL 13,MA,112,College Math for Aviation II,C
157,FALL 12,MA,242,Calculus & Analytical Geom II,A
157,SPRING 13,MA,243,Calculus & Analytical Geom III,W
157,FALL 13,MA,243,Calculus & Analytical Geom III,A
157,SPRING 14,MA,345,Differential Eq & Matrix Meth,C
157,FALL 14,MA,441,Math Methods Engr & Physics I,A
157,SUMMER 15,MA,442,Math Methods Engr & Physics II,A
158,FALL 12,MA,243HON,Calc & Analytical Geometry III,C
158,SPRING 13,MA,345HON,Differential Eq & Matrix Meth,C
158,FALL 13,MA,441,Math Methods Engr & Physics I,B
159,FALL 12,MA,241,Calculus & Analytical Geom I,A
159,SPRING 13,MA,242,Calculus & Analytical Geom II,C
159,FALL 13,MA,243,Calculus & Analytical Geom III,W
160,FALL 12,MA,241,Calculus & Analytical Geom I,D
160,SPRING 13,MA,241,Calculus & Analytical Geom I,B
160,FALL 13,MA,243HON,Calc & Analytical Geometry III,W
160,SPRING 14,MA,243,Calculus & Analytical Geom III,W
161,FALL 12,MA,4,Beginning Algebra,C
161,SPRING 13,MA,111,College Math for Aviation I,AU
161,SUMMER 13,MA,112,College Math for Aviation II,C
161,SUMMER 13,MA,111,College Math for Aviation I,B
