CASENUM,hsgpa,SUPER V,SUPER M,Superset,STEMINDEX,NONSTEM INDEX,AL,FAR,SEX,ETHNIC,ACPROG1,termhrs,Math Tier,CRS1 ,CRS1 name,c1 grade,gradeN,C2 ID,C2 Name,C2 Grade,grade2N,1TG Bla,1TG zer,1T GD b,1T GD z,ACPROG2,Change,C F STEM,C T STEM,STEM1,CUMHRS2,CG Bla,CG 0,FG D b,FG D z,RATE,RATE.WSD
40,3.21,380,380,650,2956,3218,0,0,2,2,BSAS,16,2,112,College Math for Aviation II,C,2,,,,,2.25,2.25,0.96,0.96,BSAS,0,0,0,0,95,2.47,2.47,0.74,0.74,G,G
543,2.91,380,380,740,2866,3068,0,0,2,2,BSAMS,12,,,,,,,,,,3,3,-0.09,-0.09,BSAMS,0,0,0,0,12,3,3,-0.09,-0.09,N,W
560,1.75,640,600,1240,2890,2640,0,0,2,2,BSAS,16,,,,,,,,,,3,3,-1.25,-1.25,BSAS,1,0,0,0,58,2.914,2.914,-1.164,-1.164,N,W
569,3.3,470,450,920,3350,3560,4,1,2,2,BSAS,16,3,241,Calculus & Analytical Geom I,A,4,,,,,2.583,2.583,0.717,0.717,BSAS,0,0,0,0,149,3,3,0.3,0.3,G,G
577,3.34,580,560,1140,3704,3812,2,1,2,7,BSAS,16,2,112,College Math for Aviation II,B,3,,,,,2.833,2.833,0.507,0.507,BSHS,1,0,0,0,141,3.643,3.643,-0.303,-0.303,G,G
585,2.99,560,560,870,3224,3262,2,1,2,4,BSATM,14,2,112,College Math for Aviation II,B,3,,,,,1.071,1.071,1.919,1.919,BSATM,0,0,0,0,109,2.585,2.585,0.405,0.405,G,G
50,2.3,720,550,1270,3200,3110,0,0,2,7,BSAS,16,1,6,Intermediate Algebra,D,1,,,,,1.8,1.8,0.5,0.5,BSAS,0,0,0,0,12,1.8,1.8,0.5,0.5,N,S
605,2.99,380,380,680,2854,3072,3,1,2,4,BSATM,17,1,6,Intermediate Algebra,C,2,,,,,2.471,2.471,0.519,0.519,BSSS,0,0,0,0,145,3.264,3.264,-0.274,-0.274,G,G
669,2.783,520,520,990,3179.8,3216.4,4,1,2,2,BSASP,17,1,6,Intermediate Algebra,C,2,,,,,1.824,1.824,0.959,0.959,BSSS,0,0,0,0,115,2.538,2.538,0.245,0.245,G,G
678,3.21,470,440,910,3276,3478,0,0,2,9,BSAS,14,2,111,College Math for Aviation I,F,0,,,,,1.846,1.846,1.364,1.364,BSHS,0,0,0,0,104,2.711,2.711,0.499,0.499,G,G
795,2.81,580,600,1110,3396,3358,0,0,2,7,BSATM,16,2,111,College Math for Aviation I,F,0,,,,,0,0,2.81,2.81,BSATM,1,0,0,0,0, ,0,,2.81,N,W
713,2.59,590,480,1070,3104,3142,3,1,2,5,BSAS,17,2,111,College Math for Aviation I,F,0,,,,,1.733,1.733,0.857,0.857,BSAS,1,0,0,0,12,1.733,1.733,0.857,0.857,N,W
717,3.76,650,650,1280,4186,4288,1,0,1,7,BSAS,17,2,112,College Math for Aviation II,C,2,,,,,3.313,3.313,0.447,0.447,BSHS,0,0,0,0,118,3.704,3.704,0.056,0.056,G,G
775,3.7,540,580,1120,3920,4080,3,1,2,7,BSAS,16,2,112,College Math for Aviation II,B,3,,,,,3.467,3.467,0.233,0.233,BSAS,1,0,0,0,106,3.33,3.33,0.37,0.37,G,G
