hsgpa,SUPER V,SUPER M,Superset,STEMINDEX,NONSTEM INDEX,AL,termhrs,Math Tier,CRS1 name,gradeN,1TG Bla,1T GD z,Change,RATE
3.86,590,590,1140,4046,4228,4,15,4,Calculus & Analytical Geom II,3,3.2,0.66,0,N
3.93,610,610,1150,4118,4294,0,17,2,College Math for Aviation II,3,3.267,0.663,1,N
3,660,660,1110,3570,3510,2,15,4,Calculus & Analytical Geom III,1,2.333,0.667,0,N
2.8,550,550,1050,3280,3290,4,16,4,College Algebra,0,2.125,0.675,1,N
3.5,520,720,1240,4060,4040,2,16,4,Calculus & Analytical Geom II,3,2.813,0.687,1,G
3.69,520,780,1300,4294,4252,2,16,4,Calculus & Analytical Geom I,4,3,0.69,1,N
3.7,700,700,1390,4310,4350,3,14,4,Calculus & Analytical Geom III,2,3,0.7,0,G
3.7,550,550,1100,3870,4060,3,15,4,Calculus & Analytical Geom I,2,3,0.7,0,N
3.7,600,640,1240,4100,4200,0,15,4,Calculus & Analytical Geom I,3,3,0.7,1,G
3.7,650,650,1050,3920,4010,0,16,4,Calculus & Analytical Geom II,3,3,0.7,0,N
3.59,550,550,990,3694,3862,2,17,4,Calculus & Analytical Geom I,4,2.882,0.708,1,G
3.02,520,480,1000,3292,3416,2,16,4,Calculus & Analytical Geom I,0,2.308,0.712,0,G
2.57,580,780,1360,3682,3416,2,16,4,Calculus & Analytical Geom I,3,1.846,0.724,0,N
2.93,590,590,1090,3438,3434,3,15,4,College Algebra,3,2.2,0.73,0,G
3.81,700,700,1220,4206,4268,1,16,4,Calculus & Analytical Geom I,4,3.077,0.733,0,N
3.05,660,660,1220,3710,3660,2,16,4,Calculus & Analytical Geom I,1,2.313,0.737,0,G
3.37,620,620,1190,3832,3886,4,16,4,Calculus & Analytical Geom I,3,2.625,0.745,0,G
3.88,660,660,1220,4208,4324,3,15,3,Trigonometry,1,3.133,0.747,0,N
2.94,520,560,1070,3394,3422,1,16,4,Calculus & Analytical Geom I,2,2.188,0.752,0,G
3.11,690,590,1280,3736,3768,4,13,4,Calculus & Analytical Geom I,1,2.357,0.753,1,G
3.57,660,650,1310,4102,4166,0,16,4,Calculus & Analytical Geom I,3,2.813,0.757,0,G
