hsgpa,Superset,AL,termhrs,Math Tier,gradeN,1TG zer,1T GD z,RATE.NND
3.7,1220,4,16,4,4,3.813,-0.113,G
2.65,990,4,16,,,2.833,-0.183,N
2.94,1070,1,16,4,2,2.188,0.752,G
2.51,1060,3,14,1,0,0.214,2.296,N
3.8,910,4,13,2,2,2.833,0.967,G
2.07,870,0,12,,,2,0.07,G
3.17,1060,1,15,4,2,2.667,0.503,G
3.7,1160,1,16,4,2,2.375,1.325,G
2.62,1040,4,16,1,2,3.2,-0.58,N
3.02,1140,4,16,1,1,1.533,1.487,N
2.49,940,0,16,2,1,1.133,1.357,G
2.3,930,4,12,,,2.5,-0.2,N
3.7,860,3,14,2,3,2.714,0.986,G
2.69,870,3,17,1,2,2.077,0.613,G
4,1300,3,14,4,3,3.714,0.286,G
3.77,980,4,17,4,4,3.714,0.056,G
3.7,1300,4,16,4,4,3.563,0.137,N
2.79,1090,0,14,2,0,0.5,2.29,N
3.52,1130,0,16,2,3,3.25,0.27,N
2.55,1010,4,16,1,3,1.417,1.133,N
3.94,1040,0,17,3,2,2.647,1.293,G
2.71,1070,4,17,4,2,2.176,0.534,N
3.07,1280,3,15,4,3,2.267,0.803,G
3.78,1140,2,15,2,1,2.357,1.423,G
3.01,950,0,16,1,3,2.467,0.543,N
2.86,1080,0,16,4,0,0.75,2.11,N
3,1220,4,17,2,2,2.706,0.294,G
2.71,960,4,17,4,0,0.882,1.828,N
3.71,1140,4,16,4,4,3.813,-0.103,G
3.42,990,3,16,3,4,2.875,0.545,G
2.59,920,0,13,4,0,1.615,0.975,N
3,1200,3,16,4,3,3.188,-0.188,G
3.69,1140,3,15,4,3,2.733,0.957,G
3.11,800,3,15,2,0,0.429,2.681,N
3.34,970,4,15,3,2,2.5,0.84,G
2.91,1200,4,14,4,0,0.214,2.696,N
3.05,1200,4,16,4,0,0.375,2.675,N
2.92,1130,2,16,4,0,1.692,1.228,N
3.43,1220,4,16,2,4,3.467,-0.037,G
3.9,1300,0,14,4,2,2.357,1.543,N
3.24,1300,3,16,4,3,2.438,0.802,N
3.42,1160,4,16,4,3,3,0.42,G
3.44,1380,0,15,4,0,1.308,2.132,N
2.77,770,4,14,1,0,1.769,1.001,N
3.75,1270,2,17,4,3,2.647,1.103,G
3,860,4,16,1,2,3.067,-0.067,N
3.43,1320,3,18,2,3,3.167,0.263,G
3.73,930,0,15,4,1,2.4,1.33,N
3.84,1200,2,16,4,4,4,-0.16,G
3.48,960,4,17,2,0,1.375,2.105,N
2.7,940,1,17,4,2,1.706,0.994,N
3.74,1260,4,16,2,1,2.8,0.94,N
2.43,960,4,16,1,0,0.8,1.63,N
3.68,1280,2,16,2,3,3.625,0.055,G
2.75,930,2,15,1,3,2.4,0.35,N
3.87,1200,1,16,2,4,4,-0.13,G
3,890,4,16,1,3,2.133,0.867,N
2.77,950,0,16,4,1,2.364,0.406,N
2.9,860,0,17,1,1,1.938,0.962,N
3.41,1010,0,17,1,3,3.313,0.097,G
3.33,830,0,14,1,3,2.538,0.792,N
2.79,1120,4,15,2,1,2.429,0.361,G
2.7,1000,4,16,2,1,2.133,0.567,G
2.55,1000,3,14,4,0,0.769,1.781,N
3.21,1260,0,16,4,2,2.188,1.022,N
3.9,1350,3,16,4,3,3.75,0.15,G
2.42,1060,0,16,4,3,3.438,-1.018,N
3.21,1220,0,16,1,0,1.267,1.943,G
3.83,1300,4,16,4,3,3.375,0.455,G
2.35,1240,2,16,2,3,2.25,0.1,N
3.7,1110,3,16,3,4,3.5,0.2,N
2.38,750,0,15,1,2,1.357,1.023,N
3.02,1260,4,17,2,0,3.063,-0.043,N
3.4,780,1,17,,,2.692,0.708,G
3.38,1090,4,16,4,3,3.063,0.317,G
3.52,1180,0,17,4,1,2.353,1.167,G
3.05,1220,2,16,4,1,2.313,0.737,G
3.3,1090,3,14,3,3,2.429,0.871,N
2.86,1090,3,16,4,0,2.615,0.245,G
3.42,960,3,17,1,1,2.412,1.008,G
3.88,1170,2,16,2,3,3,0.88,N
3.7,880,0,17,3,3,3.588,0.112,G
3.45,1040,0,15,4,1,2.583,0.867,N
3.97,1370,4,15,4,4,4,-0.03,G
3.83,1320,3,16,4,3,3.563,0.267,G
4,1080,0,13,4,0,3.769,0.231,G
2.89,1140,0,17,4,2,2.647,0.243,N
4,1140,4,15,2,4,3.286,0.714,N
3.39,980,2,16,1,3,2.333,1.057,N
2.88,930,0,14,1,2,2.846,0.034,N
3.36,1120,0,17,2,2,2.941,0.419,G
3.1,1080,4,16,2,0,3,0.1,N
2.81,1040,4,16,2,1,1.938,0.872,G
3.44,1290,0,17,,,3.615,-0.175,G
4,1380,4,16,4,4,3.813,0.187,G
3.09,1140,0,15,2,1,1.917,1.173,G
2.8,1180,1,17,4,0,1.923,0.877,N
3.83,1170,3,17,4,4,3.176,0.654,G
2.7,1020,4,16,1,2,2.867,-0.167,N
3.3,980,1,17,2,1,2.429,0.871,N
3.71,1210,3,16,2,3,3.438,0.272,N
3.93,1320,4,16,4,4,3.813,0.117,G
3.3,1100,0,17,2,0,2,1.3,G
3.15,1070,0,16,2,2,2.667,0.483,G
3.51,1280,0,16,4,4,3.5,0.01,G
2.24,1100,4,15,4,4,3.667,-1.427,N
2.37,850,4,16,1,0,0.667,1.703,N
3.41,1130,4,17,4,3,3.059,0.351,G
2.75,1080,0,16,2,3,3,-0.25,N
2.628,1160,4,12,,,4,-1.372,N
3.36,1150,4,17,2,1,1.875,1.485,N
3.73,1070,0,16,1,3,3.438,0.292,G
3.25,1020,0,16,2,0,0,3.25,G
2.7,850,4,16,,,1.833,0.867,N
2.67,920,3,17,1,0,1.063,1.607,N
3.7,1240,0,15,4,3,3,0.7,G
2.7,1220,3,14,4,0,0.3,2.4,N
3.36,860,0,12,,,2,1.36,N
3.89,1070,2,16,2,4,4,-0.11,G
3.52,860,3,15,1,3,2.4,1.12,N
3.7,1170,3,16,4,3,3.077,0.623,G
2.93,1020,4,16,1,1,1.333,1.597,N
3.46,950,3,16,2,3,2.625,0.835,N
2.7,770,0,12,,,2.333,0.367,N
3.37,1060,0,16,4,2,2.563,0.807,G
4,1280,4,16,4,2,2.938,1.062,N
3.7,1320,0,16,4,4,3.813,-0.113,N
3.51,1150,0,14,3,2,3,0.51,G
3,1100,4,16,2,1,2,1,G
3.2,1130,0,16,4,1,1.563,1.637,N
3.7,1240,0,16,4,3,3.563,0.137,N
3.45,1190,3,16,3,4,3.438,0.012,N
3.87,910,4,15,2,1,2.643,1.227,G
3.8,1280,0,17,4,3,3.5,0.3,N
2.7,1110,1,15,2,2,2.071,0.629,N
1.94,940,4,17,1,2,0.824,1.116,N
3.37,1220,4,16,,,0,3.37,G
3.71,1320,1,15,4,3,2.417,1.293,G
3.54,1280,0,16,3,4,3.813,-0.273,G
3,1140,0,16,4,2,2.385,0.615,N
3.11,1280,4,13,4,1,2.357,0.753,G
3.07,940,2,16,4,2,1.313,1.757,N
2.43,1430,3,15,4,3,2.133,0.297,G
2.3,1090,0,16,2,0,2.067,0.233,G
2.3,1020,0,17,2,1,1.563,0.737,N
3.55,1000,0,17,4,1,2.643,0.907,G
2.83,820,1,15,1,4,4,-1.17,G
3.85,1340,0,16,4,2,2.375,1.475,N
2.59,1180,0,14,1,0,1.692,0.898,N
3.3,1330,0,16,2,4,4,-0.7,G
3.9,1390,4,16,4,4,4,-0.1,G
2.39,1200,0,16,2,3,2.867,-0.477,N
3.76,1020,0,13,3,1,1.923,1.837,N
2.57,1040,0,16,1,0,0.938,1.632,N
3.61,1400,3,16,4,4,3.438,0.172,G
3.25,910,4,13,,,0.667,2.583,N
3.03,1110,4,16,,,1.667,1.363,N
2.4,980,0,16,1,2,1.2,1.2,G
3.26,1240,1,16,2,2,3.4,-0.14,G
3,910,0,15,1,3,2.467,0.533,G
3.21,990,0,16,4,0,1.692,1.518,G
3.76,1280,2,15,2,1,2.357,1.403,G
2.81,1010,0,15,1,3,2.867,-0.057,N
2.79,1130,3,16,2,2,1.3,1.49,G
3.36,1180,0,16,1,1,1.417,1.943,N
2.9,820,0,16,2,0,2.063,0.837,N
4,1460,0,17,4,4,3.353,0.647,G
3.08,990,3,14,1,2,1.846,1.234,G
3.53,1200,4,16,4,3,2.938,0.592,G
3.79,1270,3,15,4,3,2.8,0.99,G
3.26,1140,4,16,2,4,3.333,-0.073,G
3.21,1080,4,17,1,1,2.063,1.147,N
2.7,1110,3,16,2,4,4,-1.3,G
3.31,1170,0,16,4,4,3.625,-0.315,G
2.89,1120,3,16,3,1,1.938,0.952,G
3.9,1180,0,17,2,4,3.063,0.837,G
3.3,1280,3,18,4,0,1.867,1.433,N
3.87,1220,4,14,4,4,4,-0.13,G
4,1270,3,16,,,3.5,0.5,N
3.63,1360,0,17,2,3,3,0.63,N
3.09,1160,0,15,2,0,1.267,1.823,G
2.7,1050,4,16,,,0.5,2.2,N
3.48,1160,3,16,2,4,3.765,-0.285,G
3.75,1010,1,17,2,4,3.25,0.5,G
3.37,980,2,17,2,1,2.438,0.932,G
3.7,1080,3,14,1,3,2.143,1.557,N
2.7,1070,2,12,4,0,0,2.7,N
3.79,1020,3,16,3,3,3.438,0.352,G
3.7,1170,1,16,4,2,2.938,0.762,N
3.61,1000,4,16,2,4,3.063,0.547,G
2.7,1260,2,16,,,1.667,1.033,N
3.18,1040,1,15,4,1,2.583,0.597,G
3.31,1440,2,16,,,3.813,-0.503,G
2.75,870,2,14,,,2.1,0.65,N
3.6,1360,4,17,4,3,3.412,0.188,G
3.11,1030,0,14,1,2,1.462,1.648,G
2.83,890,4,16,2,0,1.846,0.984,G
3.68,1130,4,12,,,3.417,0.263,G
2.97,1090,1,15,2,1,2.25,0.72,N
3.1,1140,4,16,1,4,3.375,-0.275,N
3.68,1260,4,16,4,3,3.563,0.117,G
3.2,930,4,16,4,2,2.75,0.45,G
3.81,1320,4,16,4,4,3.313,0.497,N
3,1100,3,16,2,2,2.813,0.187,G
3.25,1340,4,12,5,0,0.917,2.333,N
3.61,1090,3,17,4,4,3.824,-0.214,G
3.69,1240,1,16,,,3.6,0.09,G
2.8,1050,4,16,4,0,2.125,0.675,N
2.31,1000,2,16,1,2,1.6,0.71,N
2.59,860,1,15,2,0,3,-0.41,G
3.03,960,4,15,4,1,0.333,2.697,N
3.4,1320,2,17,2,3,3.25,0.15,G
3.89,1240,4,17,4,2,2.353,1.537,G
3.25,1020,2,15,2,1,2.4,0.85,G
3.02,1000,2,16,4,0,2.308,0.712,G
3.55,1040,2,15,4,3,2.667,0.883,G
3.68,1140,1,15,2,3,3.067,0.613,N
3.7,1050,0,16,4,3,3,0.7,N
3.7,1260,4,17,4,0,1.5,2.2,N
3.67,1280,4,16,1,0,0,3.67,N
2.41,1230,0,15,4,1,1.333,1.077,N
3.43,1090,2,16,4,4,3.313,0.117,N
2.01,1260,0,16,4,0,3,-0.99,N
3.11,1400,4,16,4,1,1.5,1.61,N
3.86,1200,0,16,,,4,-0.14,G
3.9,1220,3,16,4,4,3.625,0.275,G
3.13,1310,3,13,,,2.308,0.822,G
3.25,980,4,15,,,2.364,0.886,G
3.03,1130,2,15,2,1,1.714,1.316,N
3.76,1450,3,15,5,4,4,-0.24,N
3.96,1410,3,16,,,3.8,0.16,G
3.91,1240,4,16,4,4,3.625,0.285,G
3.14,960,1,16,3,0,2.833,0.307,N
3.63,1010,3,15,1,2,2.867,0.763,G
3.1,1130,0,16,4,0,3.154,-0.054,G
3.65,1020,0,16,3,2,2.667,0.983,G
2.41,1050,0,16,1,0,0.533,1.877,N
3.8,1360,3,16,4,3,3.75,0.05,G
3.57,1310,0,16,4,3,2.813,0.757,G
3.06,910,0,17,1,4,3.438,-0.378,G
3.11,920,0,12,,,2.25,0.86,G
3.17,1060,2,16,4,3,2.625,0.545,N
2.94,1000,4,16,2,2,1.4,1.54,G
3.46,1350,3,16,4,4,3.625,-0.165,G
3.45,1170,0,16,1,1,0.818,2.632,G
3,720,2,14,2,0,1.231,1.769,N
3.6,1070,4,16,4,2,2.75,0.85,G
2.7,400,2,16,1,2,2.813,-0.113,G
3.15,1070,3,16,4,3,3.188,-0.038,N
3.7,1060,2,17,4,3,2.941,0.759,N
3.38,1200,2,16,4,3,2.938,0.442,N
3.79,1130,4,13,2,3,3.538,0.252,G
3.21,940,4,16,1,1,2.125,1.085,G
3.66,1290,0,16,4,2,3.154,0.506,N
2.7,840,2,17,1,2,2.059,0.641,G
2.07,980,0,12,,,1.333,0.737,N
3.98,1320,4,16,4,3,3.375,0.605,G
3.5,1240,4,16,4,4,3.813,-0.313,G
3.8,1400,0,16,2,4,4,-0.2,N
3.78,1220,2,16,4,2,2.692,1.088,N
3.58,1150,3,16,4,3,3.231,0.349,N
2.78,1010,1,17,2,3,3.188,-0.408,G
2.43,950,0,16,1,4,2.4,0.03,G
2.75,870,3,14,1,0,1.154,1.596,G
3.36,930,3,14,,,2,1.36,G
2.95,1140,1,16,2,1,3,-0.05,G
2.6,920,0,13,,,2.778,-0.178,G
2.3,920,1,13,1,1,1.75,0.55,G
3.46,1140,3,17,4,4,3.6,-0.14,G
3.72,1220,4,17,4,3,3.143,0.577,G
2.57,1360,2,16,4,3,1.846,0.724,N
2.94,1130,3,13,2,0,1.385,1.555,G
2.96,1200,3,16,2,1,2.875,0.085,N
2.43,1020,4,14,1,3,1.833,0.597,N
2.7,920,2,14,2,0,0,2.7,N
3.25,960,4,16,1,2,2.467,0.783,N
3.84,1220,2,17,4,3,3.059,0.781,G
3.3,1100,0,16,2,2,2.8,0.5,G
3.22,1080,1,14,4,2,2.214,1.006,G
2.6,990,4,15,4,1,1.692,0.908,G
2.3,1250,3,16,4,2,1.813,0.487,G
2.82,1160,0,14,4,0,1.357,1.463,G
3.94,1280,1,15,2,4,3.2,0.74,G
3.3,1150,0,15,2,2,2.5,0.8,N
3.53,1010,3,15,4,4,3.8,-0.27,G
4,1440,1,16,4,4,3.625,0.375,G
2.81,1020,1,15,4,3,2.933,-0.123,G
3.6,1430,4,17,4,3,3.588,0.012,G
2.55,1040,0,12,,,3.25,-0.7,N
2.9,950,3,14,1,4,3.538,-0.638,G
2.76,1100,2,16,2,2,2.333,0.427,G
2.7,900,4,16,1,1,0.667,2.033,N
3,940,3,14,1,2,2.385,0.615,N
2.68,1080,0,15,1,3,2.75,-0.07,G
2.96,1110,0,16,4,2,2.75,0.21,G
3.82,1010,2,16,2,4,3.8,0.02,G
3.5,1120,3,16,4,1,2.385,1.115,N
3.7,1090,0,16,4,3,2.75,0.95,N
3.24,1080,1,17,4,3,3.235,0.005,G
3.16,910,3,16,1,4,3.063,0.097,N
3.14,1080,0,13,2,2,2.75,0.39,G
3.76,1320,2,16,4,4,4,-0.24,G
3.48,1100,4,16,1,2,2.846,0.634,G
2.89,1130,3,15,4,3,2.867,0.023,G
3.3,1140,3,16,1,4,3.6,-0.3,N
3.7,1070,4,16,4,3,3.375,0.325,G
2.83,1070,3,16,4,0,1.313,1.517,N
3.75,1080,3,16,1,4,3,0.75,G
2.6,950,4,16,2,3,2.875,-0.275,G
3.76,1290,4,16,4,3,2.813,0.947,N
3.8,1460,2,15,4,3,3.467,0.333,G
3.72,1330,2,16,2,3,3.375,0.345,G
3.81,1130,4,16,2,4,3.2,0.61,G
3.6,1140,1,15,4,4,4,-0.4,G
2.73,1040,4,15,2,4,3.786,-1.056,G
3.24,1100,4,17,4,3,2.857,0.383,G
2.73,830,2,17,1,0,2.357,0.373,G
3.3,1080,4,16,,,2.75,0.55,G
3.03,830,3,16,1,2,2.188,0.842,G
3.28,1130,3,16,1,3,3.25,0.03,G
2.7,1060,0,16,2,1,2.2,0.5,G
3.82,1140,4,16,2,4,4,-0.18,N
3.98,1160,4,16,4,4,3.438,0.542,G
3.9,1100,3,16,4,3,2.625,1.275,G
2.68,1180,1,15,2,0,1.714,0.966,N
3.8,1270,0,16,4,4,3.688,0.112,G
3.7,1360,4,16,4,2,2.938,0.762,G
3.46,1140,3,15,2,2,3,0.46,G
3.15,1180,4,16,2,0,3.333,-0.183,G
3.47,1280,4,16,4,3,2.923,0.547,G
3.19,1200,4,16,4,3,2.615,0.575,G
2.846,1200,0,15,4,0,0,2.846,N
3.54,1390,0,15,4,4,3.8,-0.26,N
3.6,1210,4,16,2,3,3.625,-0.025,G
3.16,1200,2,15,2,2,3.214,-0.054,G
3.9,1180,1,16,4,0,1.462,2.438,N
2.97,1160,4,16,2,4,3.063,-0.093,N
3.98,1570,4,17,4,4,3,0.98,G
3.54,1130,3,16,2,4,3.4,0.14,N
3.64,1250,3,16,4,2,3.125,0.515,N
4,1440,4,16,4,4,4,0,G
2.36,990,4,14,1,3,2,0.36,G
3.7,1300,3,16,4,1,2.938,0.762,G
2.25,1250,3,12,,,1.75,0.5,N
3.66,1130,4,16,4,4,3.688,-0.028,G
3.91,1440,4,16,6,4,3.813,0.097,G
3.3,840,0,14,2,0,2,1.3,N
3.93,1150,0,17,2,3,3.267,0.663,N
3.09,1160,4,16,4,3,2.5,0.59,G
3.49,1090,2,15,4,4,3.2,0.29,N
3.01,1030,2,15,3,2,3.2,-0.19,N
3,1260,4,17,4,0,1.429,1.571,G
2.72,760,2,14,2,1,2.5,0.22,N
3.01,1020,3,13,2,2,2.5,0.51,G
3.86,1360,2,16,,,4,-0.14,G
3.71,1230,4,16,4,3,3.688,0.022,G
2.3,1210,0,16,4,1,1.438,0.862,N
3.97,1260,0,17,4,2,2.647,1.323,G
3.75,1290,2,16,4,4,3.688,0.062,G
3.59,990,2,17,4,4,2.882,0.708,G
3.65,1350,4,17,4,3,3.071,0.579,G
3,1150,2,13,2,0,2.2,0.8,G
3.4,1230,4,16,2,4,3.8,-0.4,G
3.88,1150,4,16,4,1,1.938,1.942,G
2.7,990,4,15,2,2,2.733,-0.033,G
3.71,1220,4,15,4,2,2.933,0.777,G
2.88,1070,0,15,4,0,0.833,2.047,N
3.78,1530,4,16,3,3,3.563,0.217,G
2.68,1070,4,17,2,4,2.706,-0.026,G
3.7,1340,4,17,3,2,3.688,0.012,G
3.04,1050,0,16,4,0,0.429,2.611,N
3.88,1230,3,17,4,4,4,-0.12,G
2.78,970,3,14,1,3,2.308,0.472,N
2.23,1040,0,16,1,0,0,2.23,N
3.02,1060,3,15,4,2,2.8,0.22,N
3.01,990,0,13,2,1,1.462,1.548,N
2.96,990,0,17,4,3,2.412,0.548,N
2.3,990,4,14,1,0,0,2.3,N
2,1120,3,16,,,3.067,-1.067,G
3.1,1050,0,12,,,2.25,0.85,G
3.8,1230,0,16,,,4,-0.2,G
3.23,930,4,16,1,0,1.6,1.63,N
2.28,970,0,17,1,0,0.214,2.066,N
3.3,1140,0,16,2,0,0,3.3,N
4,1390,0,17,4,4,3.353,0.647,N
3.62,1240,0,16,2,3,3.6,0.02,N
