hsgpa,Superset,AL,termhrs,Math Tier,gradeN,1TG zer,1T GD z,RATE.NND
4,1130,2,15,,,3.8,0.2,G
3.4,930,3,17,4,2,1.706,1.694,G
2.7,1090,3,16,1,2,3,-0.3,G
3.7,1110,2,15,4,4,3.6,0.1,G
3.57,1070,4,16,2,3,3.188,0.382,G
3.04,1140,3,15,4,2,2.6,0.44,N
3.52,1230,3,15,2,3,3.429,0.091,G
3.96,1290,2,15,2,4,4,-0.04,G
3.48,1110,4,16,2,3,3.067,0.413,G
2.75,1400,0,16,4,2,1.154,1.596,N
3.72,1270,4,16,4,4,3.5,0.22,G
3.5,1180,2,16,1,3,2.688,0.812,G
3.35,1160,4,13,4,0,1.231,2.119,G
3.08,760,2,17,2,3,3.313,-0.233,N
3.06,1010,2,15,,,2.8,0.26,N
3.57,1320,0,16,4,2,3.063,0.507,N
2.71,860,2,15,4,0,0.167,2.543,N
3.3,990,0,16,1,2,3.067,0.233,G
3.65,1310,4,16,,,3.467,0.183,N
3.38,1070,3,16,2,0,1.933,1.447,G
3.28,1300,4,16,4,3,3.188,0.092,N
2.82,810,2,16,1,0,0,2.82,N
3.6,1130,3,16,1,3,3.563,0.037,N
2.97,1220,4,16,,,0.833,2.137,N
4,1160,0,16,4,4,3.813,0.187,G
3.47,970,0,15,2,2,2,1.47,G
3.4,1020,0,16,2,3,3.2,0.2,N
2.7,1100,3,15,2,1,1.933,0.767,G
3,1050,3,16,4,2,2.563,0.437,G
3.55,1170,4,16,4,3,3.375,0.175,G
3.41,1120,0,16,1,3,3.375,0.035,G
2.88,1120,0,16,2,3,3,-0.12,G
2.44,820,0,16,2,0,1.375,1.065,N
2.78,1050,1,15,2,0,1.6,1.18,G
2.3,840,0,14,2,0,2.5,-0.2,N
3.47,1130,0,16,2,4,3.267,0.203,G
2.56,930,0,12,2,0,0,2.56,G
3.86,1240,4,15,4,3,3.533,0.327,G
3.05,980,1,17,2,3,3.471,-0.421,G
3.4,1180,3,15,2,3,3.6,-0.2,G
3.47,930,0,17,1,2,2.706,0.764,G
3.08,1200,0,15,3,1,1.4,1.68,N
3.95,1380,4,16,4,4,4,-0.05,G
3.9,910,1,15,4,4,3.4,0.5,G
4,1260,3,13,4,4,3.385,0.615,G
3.3,990,1,17,4,0,1.286,2.014,N
3.27,1050,0,16,2,2,3.063,0.207,G
3,1170,0,16,2,3,2.667,0.333,G
3.76,1260,3,16,2,4,4,-0.24,N
3.14,1110,3,16,2,2,2.733,0.407,N
3.3,1170,4,16,4,1,1.063,2.237,N
3.55,1280,4,16,4,4,3.813,-0.263,N
3,1260,2,16,4,1,1.231,1.769,G
2.7,1010,3,17,2,2,2.941,-0.241,N
3.25,1040,0,16,2,0,2.125,1.125,N
3.26,810,0,17,2,0,2.571,0.689,G
3.73,1350,3,16,4,3,3.125,0.605,N
2.98,1060,0,17,4,3,2.824,0.156,G
2.34,920,3,15,1,2,1.714,0.626,G
3.64,1190,4,17,,,3.118,0.522,G
3.28,1080,4,15,2,3,3.286,-0.006,G
3.64,970,0,17,4,1,2.588,1.052,N
3,1180,3,16,2,3,3.133,-0.133,N
3.42,1130,3,16,4,2,2.375,1.045,G
2.75,1110,3,17,2,1,1.688,1.062,N
3.66,1190,0,16,2,4,3.125,0.535,G
3.37,1020,4,17,3,1,1.462,1.908,N
2.7,960,0,16,4,1,2.5,0.2,G
3.1,1050,1,12,,,3.25,-0.15,N
4,1260,0,16,4,2,2.923,1.077,G
3.94,980,4,16,2,3,2.385,1.555,N
3.95,1360,2,16,4,4,4,-0.05,G
3.3,1160,4,16,,,2.875,0.425,G
4,1380,2,16,4,4,4,0,G
2.7,990,4,15,1,3,1.733,0.967,N
2.57,1080,1,16,2,0,2.583,-0.013,N
3.37,1190,4,16,4,3,2.625,0.745,G
2.75,1040,1,16,1,2,2.154,0.596,G
3.21,1110,0,17,1,0,2,1.21,G
3.55,1140,2,17,1,3,2.882,0.668,N
3.03,860,0,16,,,2.231,0.799,G
3.11,950,3,14,2,1,2.357,0.753,N
3.02,1200,4,14,1,1,1.308,1.712,N
2,1190,3,13,2,0,0.692,1.308,N
3.66,1270,2,17,4,3,2.529,1.131,G
3.55,1340,4,16,4,3,3.063,0.487,G
3.23,1030,4,16,2,2,3.063,0.167,N
3.6,980,4,15,4,3,2.2,1.4,G
3.85,1240,3,16,5,3,3.375,0.475,G
3.13,1170,2,12,,,3,0.13,G
2.9,850,3,17,1,3,2.706,0.194,G
3.96,1100,4,12,,,3.833,0.127,N
3.3,1170,2,16,2,4,3.625,-0.325,G
3.99,1400,4,17,4,3,2.917,1.073,N
3.744,1120,1,16,1,3,3.625,0.119,G
3,760,0,15,1,4,3.4,-0.4,G
3.97,1190,1,16,2,3,3.769,0.201,N
3.92,1490,4,16,4,3,3.563,0.357,G
3.13,880,1,16,2,1,2.563,0.567,N
3.7,1280,0,17,4,3,3.353,0.347,G
2.7,810,3,17,2,1,1.75,0.95,G
3.41,1100,4,17,4,4,3.588,-0.178,G
3.16,1180,1,12,,,2.417,0.743,G
3.51,850,3,15,2,2,3.2,0.31,G
2.9,1150,0,16,2,3,3.267,-0.367,G
3.81,1050,3,16,4,0,0,3.81,N
3.29,1420,4,16,4,0,0.615,2.675,N
4,1400,0,13,2,4,4,0,G
3.09,910,4,17,1,3,2.375,0.715,G
3.48,1020,2,15,2,2,2.857,0.623,G
3.32,1040,2,13,3,0,1.385,1.935,N
3.67,1060,3,16,4,3,1.875,1.795,N
3.82,1220,4,15,,,4,-0.18,G
3,1180,0,16,4,2,2.063,0.937,G
2.27,890,2,16,1,3,2.533,-0.263,G
2.75,1110,3,14,2,4,3.231,-0.481,G
3.3,1340,1,16,4,3,3.188,0.112,G
2.7,1080,3,16,4,4,3.769,-1.069,N
3.9,1430,3,16,4,4,3.438,0.462,G
3.56,1240,3,15,4,4,3.667,-0.107,G
3.86,1040,0,16,2,3,3.267,0.593,G
3.47,1080,4,15,2,3,2.714,0.756,G
2.47,830,3,12,,,2.5,-0.03,N
3.27,1350,4,16,,,3.25,0.02,G
2.82,1230,0,16,4,3,3.188,-0.368,G
3.22,1180,0,16,2,3,3.267,-0.047,N
3.85,1280,3,16,4,3,2.923,0.927,G
2.67,800,1,17,3,2,2.765,-0.095,N
