CASENUM,hsgpa,SUPER V,SUPER M,Superset,STEMINDEX,NONSTEM INDEX,AL,FAR,SEX,ETHNIC,ACPROG1,termhrs,Math Tier,CRS1 ,CRS1 name,c1 grade,gradeN,C2 ID,C2 Name,C2 Grade,grade2N,1TG Bla,1TG zer,1T GD b,1T GD z,ACPROG2,Change,C F STEM,C T STEM,STEM1,CUMHRS2,CG Bla,CG 0,FG D b,FG D z,RATE,RATE.WSD
281,3.81,560,580,1140,4006,4188,3,1,2,7,BSAE,17,4,241,Calculus & Analytical Geom I,B,3,,,,,3.286,3.286,0.524,0.524,BSAS,0,1,0,1,106,3.717,3.717,0.093,0.093,G,G
290,3,530,510,1040,3350,3440,0,0,2,7,BSAE,15,4,140,College Algebra,C,2,142,Trigonometry,B,3,2.933,2.933,0.067,0.067,BSGSIS,0,1,0,1,41,2.683,2.683,0.317,0.317,N,W
301,3,610,610,1190,3600,3590,1,0,2,7,BSAMET,15,2,112,College Math for Aviation II,B,3,,,,,2.4,2.4,0.6,0.6,BSAMET,0,0,0,1,60,2.048,2.048,0.952,0.952,N,W
313,3.65,620,680,1280,4150,4200,0,0,2,9,BSAE,16,4,241,Calculus & Analytical Geom I,A,4,,,,,3.625,3.625,0.025,0.025,BSAE,0,0,0,1,117,3.282,3.282,0.368,0.368,G,G
332,3.79,580,580,1120,3974,4152,4,1,2,5,BSCE,15,4,242,Calculus & Analytical Geom II,A,4,,,,,3.2,3.2,0.59,0.59,BSCE,1,0,0,1,95,3.662,3.662,0.128,0.128,G,G
379,3.57,660,620,1280,4042,4136,4,1,2,7,BSAE,16,4,241,Calculus & Analytical Geom I,A,4,,,,,3.125,3.125,0.445,0.445,BSAE,1,0,0,1,16,3.125,3.125,0.445,0.445,N,W
381,3.5,730,730,1250,4080,4050,2,1,2,4,BSAE,16,4,241,Calculus & Analytical Geom I,A,4,,,,,3.813,3.813,-0.313,-0.313,BSAE,1,0,0,1,126,3.492,3.492,0.008,0.008,G,G
411,3.9,620,620,1220,4180,4340,4,1,2,7,BSSP,16,4,241,Calculus & Analytical Geom I,C,2,,,,,2.5,2.5,1.4,1.4,BSSP,0,0,0,1,19,1.433,1.433,2.467,2.467,N,W
418,2.48,460,460,880,2828,2864,2,1,1,7,BSAE,13,1,6,Intermediate Algebra,C,2,,,,,3.077,3.077,-0.597,-0.597,BSAE,0,0,0,1,22,2.071,2.071,0.409,0.409,N,S
463,3.94,670,680,1350,4394,4502,0,0,1,7,BSAE,17,4,241,Calculus & Analytical Geom I,A,4,,,,,3.786,3.786,0.154,0.154,BSCIV,1,0,0,1,130,3.858,3.858,0.082,0.082,G,G
465,2.8,450,440,890,3010,3130,2,1,1,2,BSAE,17,4,140,College Algebra,D,1,142,Trigonometry,C,2,1.882,1.882,0.918,0.918,BSAE,0,0,0,1,0, ,0,,2.8,N,W
531,3.57,510,510,1020,3672,3876,4,1,1,5,BSAE,17,4,241,Calculus & Analytical Geom I,F,0,,,,,0.941,0.941,2.629,2.629,BSAE,0,0,0,1,10,0.941,0.941,2.629,2.629,N,S
581,3.3,550,550,1100,3630,3740,4,1,2,2,BSAE,17,4,241,Calculus & Analytical Geom I,D,1,,,,,2.143,2.143,1.157,1.157,BSHFP,0,1,0,1,123,3.48,3.48,-0.18,-0.18,G,G
586,3.35,610,580,1190,3780,3870,4,1,2,7,BSAE,15,1,6,Intermediate Algebra,C,2,,,,,1.067,1.067,2.283,2.283,BSAE,1,0,0,1,6,1.067,1.067,2.283,2.283,N,S
592,3.56,560,560,1050,3746,3898,3,1,1,7,BSSP,16,4,241,Calculus & Analytical Geom I,D,1,,,,,2.5,2.5,1.06,1.06,BSHFP,0,1,0,1,118,2.509,2.509,1.051,1.051,N,W
604,3,460,460,880,3140,3280,2,1,2,2,BSAE,14,4,241,Calculus & Analytical Geom I,D,1,,,,,2.071,2.071,0.929,0.929,BSME,1,0,0,1,23,2.1,2.1,0.9,0.9,N,S
633,3.26,520,540,1060,3556,3668,0,0,2,4,BSAE,15,4,241,Calculus & Analytical Geom I,C,2,,,,,2.917,2.917,0.343,0.343,BSAE,0,0,0,1,134,2.872,2.872,0.388,0.388,G,G
