Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary,measureTreeSize,measureNumLeaves,measureNumRules
LiuSelectedDataFirstTerm,5,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,50.0,46.0,0.0,52.083333333333336,47.916666666666664,0.0,0.1258907363420428,0.34171830285175003,0.4769703428387449,90.09371554906404,109.90217332536967,127.7624945269124,10847.45955664339,-10719.697062116478,1.330859317988671,112.99437038170198,-111.66351106371332,18.195022182113494,0.18953148106368223,1344.3189592823776,0.7115384615384616,37.0,0.4772727272727273,21.0,0.5227272727272727,23.0,0.28846153846153844,15.0,0.6379310344827587,0.7115384615384616,0.6727272727272728,0.705201048951049,0.5208333333333334,0.38344617743289305,0.6165538225671069,0.4791666666666667,0.501699970867101,0.5208333333333334,0.5093592171717172,0.6352971356084874,0.032,0.0,0.03125,0.0,28426.0,89035.0,11770.0,'Number of leaves: 63\nSize of the tree: 125\n',125.0,63.0,63.0
LiuSelectedDataFirstTerm,5,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,55.0,41.0,0.0,57.291666666666664,42.708333333333336,0.0,0.1806827643630307,0.3198351218146313,0.44381043438412116,84.32423504066361,102.26155989698816,127.7624945269124,5471.72923998618,-5343.966745459267,1.330859317988671,56.99717958318937,-55.6663202652007,29.891810816384467,0.3113730293373382,2208.5231666961336,0.8076923076923077,42.0,0.5909090909090909,26.0,0.4090909090909091,18.0,0.19230769230769232,10.0,0.6176470588235294,0.8076923076923077,0.7,0.6339597902097902,0.5729166666666666,0.39992901742124465,0.6000709825787554,0.4270833333333333,0.5485345179738562,0.5729166666666666,0.5439591481964363,0.6260747981154108,0.046,0.0,0.046875,0.0,30832.0,89035.0,11770.0,'Number of leaves: 69\nSize of the tree: 137\n',137.0,69.0,69.0
LiuSelectedDataFirstTerm,5,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,55.0,41.0,0.0,57.291666666666664,42.708333333333336,0.0,0.22550177095631635,0.32460155740140234,0.46830939192215204,84.98480117348726,107.05913159502734,130.12450069157836,9769.752342069738,-9639.62784137816,1.355463548870608,101.76825356322644,-100.41279001435583,27.312231011135527,0.28450240636599505,2022.0309232081584,0.803921568627451,41.0,0.5111111111111111,23.0,0.4888888888888889,22.0,0.19607843137254902,10.0,0.640625,0.803921568627451,0.7130434782608696,0.6568627450980392,0.5729166666666666,0.35051653111365266,0.6494834688863472,0.4270833333333333,0.5477183948863636,0.5729166666666666,0.5483949911009408,0.6332304771889694,0.047,0.0,0.046875,0.0,33238.0,89035.0,11770.0,'Number of leaves: 75\nSize of the tree: 149\n',149.0,75.0,75.0
LiuSelectedDataFirstTerm,5,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,52.0,44.0,0.0,54.166666666666664,45.833333333333336,0.0,0.1220120557056744,0.3375763282354476,0.4786533816060363,88.38176059792818,109.42384725498717,130.12450069157836,11919.04618231725,-11788.921681625672,1.355463548870608,124.15673106580469,-122.80126751693409,21.13667496041922,0.22017369750436688,1564.8304368230495,0.8235294117647058,42.0,0.6222222222222222,28.0,0.37777777777777777,17.0,0.17647058823529413,9.0,0.6,0.8235294117647058,0.6942148760330579,0.581045751633987,0.5416666666666666,0.4118873639174821,0.5881126360825178,0.4583333333333333,0.47726449275362315,0.5416666666666666,0.49452004369715974,0.5803329653280808,0.047,0.0,0.046875,0.0,34441.0,89035.0,11770.0,'Number of leaves: 78\nSize of the tree: 155\n',155.0,78.0,78.0
LiuSelectedDataFirstTerm,5,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,53.0,43.0,0.0,55.208333333333336,44.791666666666664,0.0,0.20661157024793392,0.32976840354645115,0.4652461791323483,86.33754697004538,106.35885757357084,130.12450069157836,9769.952390232671,-9639.827889541093,1.355463548870608,101.77033739825698,-100.41487384938638,25.99017534361779,0.2707309931626853,1924.1539888473746,0.7254901960784313,37.0,0.4666666666666667,21.0,0.5333333333333333,24.0,0.27450980392156865,14.0,0.6379310344827587,0.7254901960784313,0.6788990825688075,0.6581699346405229,0.5520833333333334,0.341281452535265,0.658718547464735,0.4479166666666667,0.5428500764348466,0.5520833333333334,0.5433168273228203,0.6391858744228406,0.047,0.0,0.046875,0.0,32837.0,89035.0,11770.0,'Number of leaves: 74\nSize of the tree: 147\n',147.0,74.0,74.0
LiuSelectedDataFirstTerm,5,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,51.0,45.0,0.0,53.125,46.875,0.0,0.11710606989576948,0.34765300377330083,0.4847222323342033,91.01996194831548,110.81123324370422,130.12450069157836,10851.734533400817,-10721.610032709239,1.355463548870608,113.03890138959184,-111.68343784072124,18.551068177679973,0.19324029351749972,1373.4078881552407,0.803921568627451,41.0,0.6,27.0,0.4,18.0,0.19607843137254902,10.0,0.6029411764705882,0.803921568627451,0.6890756302521008,0.562962962962963,0.53125,0.4072698246282882,0.5927301753717118,0.46875,0.48380887681159424,0.53125,0.4931068691844555,0.5300456873667415,0.047,0.0,0.046875,0.0,30030.0,89035.0,11770.0,'Number of leaves: 67\nSize of the tree: 133\n',133.0,67.0,67.0
LiuSelectedDataFirstTerm,5,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,862.0,95.0,51.0,44.0,0.0,53.68421052631579,46.31578947368421,0.0,0.14780835881753315,0.3310187699681472,0.45743035388450476,86.75781657069693,104.6981346843862,128.65658798814314,9762.276873317136,-9633.620285328992,1.3542798735594015,102.76080919281196,-101.40652931925256,22.09395079757269,0.2325679031323441,1635.5371297503048,0.7058823529411765,36.0,0.5,22.0,0.5,22.0,0.29411764705882354,15.0,0.6206896551724138,0.7058823529411765,0.6605504587155964,0.69451871657754,0.5368421052631579,0.3836116327462823,0.6163883672537177,0.4631578947368421,0.5113622614530056,0.5368421052631579,0.5192168425994468,0.6388530819026175,0.031,0.0,0.03125,0.0,32837.0,89136.0,11669.0,'Number of leaves: 74\nSize of the tree: 147\n',147.0,74.0,74.0
LiuSelectedDataFirstTerm,5,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,862.0,95.0,49.0,46.0,0.0,51.578947368421055,48.421052631578945,0.0,0.12739616613418542,0.34215056775945457,0.4814403870759552,89.675386686051,110.19362851750812,128.65658798814314,8704.993025256834,-8576.33643726869,1.3542798735594015,91.63150552901931,-90.2772256554599,20.126689094378154,0.21185988520398058,1489.907695296057,0.7058823529411765,36.0,0.5227272727272727,23.0,0.4772727272727273,21.0,0.29411764705882354,15.0,0.6101694915254238,0.7058823529411765,0.6545454545454547,0.6094028520499108,0.5157894736842106,0.38779350629576476,0.6122064937042352,0.4842105263157895,0.49520599993392145,0.5157894736842106,0.5019710937080721,0.5764735181075332,0.031,0.0,0.03125,0.0,38852.0,89136.0,11669.0,'Number of leaves: 89\nSize of the tree: 177\n',177.0,89.0,89.0
LiuSelectedDataFirstTerm,5,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,862.0,95.0,58.0,37.0,0.0,61.05263157894737,38.94736842105263,0.0,0.300914876690533,0.3155657493779699,0.45175663225725377,82.70768271890715,103.39951497966584,128.65658798814314,12980.857728191397,-12852.201140203253,1.3542798735594015,136.6406076651726,-135.2863277916132,29.083972324161177,0.30614707709643346,2152.983730823816,0.7254901960784313,37.0,0.4090909090909091,18.0,0.5909090909090909,26.0,0.27450980392156865,14.0,0.6727272727272727,0.7254901960784313,0.6981132075471698,0.6931818181818182,0.6105263157894737,0.307948951013459,0.6920510489865409,0.3894736842105263,0.5972841193893825,0.6105263157894737,0.6025294405360893,0.6896138336109406,0.047,0.0,0.046875,0.0,44065.0,89136.0,11669.0,'Number of leaves: 102\nSize of the tree: 203\n',203.0,102.0,102.0
LiuSelectedDataFirstTerm,6,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,52.0,44.0,0.0,54.166666666666664,45.833333333333336,0.0,0.1990898748577929,0.30874419984025187,0.4625578744779442,81.06001174838514,106.07826327867284,129.5602749486849,12975.226985248019,-12845.666710299334,1.3495861973821344,135.15861442966687,-133.80902823228473,33.46229192828186,0.3485655409196027,2476.1438530090877,0.6538461538461539,34.0,0.38636363636363635,17.0,0.6136363636363636,27.0,0.34615384615384615,18.0,0.6666666666666666,0.6538461538461539,0.6601941747572816,0.7030157342657343,0.5416666666666666,0.336507422310123,0.663492577689877,0.4583333333333333,0.5444444444444444,0.5416666666666666,0.5429916514234792,0.6790583476835117,0.046,0.0,0.046875,0.0,48476.0,89035.0,11770.0,'Number of leaves: 113\nSize of the tree: 225\n',225.0,113.0,113.0
LiuSelectedDataFirstTerm,6,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,52.0,44.0,0.0,54.166666666666664,45.833333333333336,0.0,0.13936430317848403,0.3311308251701344,0.4636032131411951,86.93756382283999,106.31799049131807,129.5602749486849,5486.911056551214,-5357.3507816025285,1.3495861973821344,57.15532350574181,-55.805737308359674,25.627528069696545,0.26695341739267237,1896.3867219137974,0.7884615384615384,41.0,0.5681818181818182,25.0,0.4318181818181818,19.0,0.21153846153846154,11.0,0.6212121212121212,0.7884615384615384,0.6949152542372881,0.621284965034965,0.5416666666666666,0.3982955966264294,0.6017044033735707,0.4583333333333333,0.5040246212121212,0.5416666666666666,0.512367889148646,0.6067082289038169,0.047,0.0,0.046875,0.0,36045.0,89035.0,11770.0,'Number of leaves: 82\nSize of the tree: 163\n',163.0,82.0,82.0
LiuSelectedDataFirstTerm,6,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,55.0,41.0,0.0,57.291666666666664,42.708333333333336,0.0,0.19410319410319404,0.33831191409570077,0.48056880467473106,88.82294062659464,110.20870468011881,129.5602749486849,11918.571512507318,-11789.011237558634,1.3495861973821344,124.1517865886179,-122.80220039123577,21.40086898380549,0.2229257185813072,1583.6222544731022,0.8461538461538461,44.0,0.5909090909090909,26.0,0.4090909090909091,18.0,0.15384615384615385,8.0,0.6285714285714286,0.8461538461538461,0.721311475409836,0.5812937062937062,0.5729166666666666,0.3832556150401237,0.6167443849598763,0.4270833333333333,0.5369460978835979,0.5729166666666666,0.5344069637102423,0.5628454343699562,0.047,0.0,0.046875,0.0,35644.0,89035.0,11770.0,'Number of leaves: 81\nSize of the tree: 161\n',161.0,81.0,81.0
LiuSelectedDataFirstTerm,6,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,57.0,39.0,0.0,59.375,40.625,0.0,0.24713452644279105,0.3148836903341273,0.4449033211525534,82.44054042762303,101.7083236593592,130.12450069157828,6549.220207058394,-6419.095706366817,1.355463548870607,68.22104382352494,-66.86558027465433,29.73536575213901,0.309743393251448,2201.425033319902,0.803921568627451,41.0,0.4888888888888889,22.0,0.5111111111111111,23.0,0.19607843137254902,10.0,0.6507936507936508,0.803921568627451,0.7192982456140351,0.6640522875816993,0.59375,0.3470308065404329,0.652969193459567,0.40625,0.5696924603174603,0.59375,0.5719420077972709,0.6351973196509509,0.031,0.0,0.03125,0.0,31634.0,89035.0,11770.0,'Number of leaves: 71\nSize of the tree: 141\n',141.0,71.0,71.0
LiuSelectedDataFirstTerm,6,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,60.0,36.0,0.0,62.5,37.5,0.0,0.3018181818181818,0.32230104539411836,0.4388372338713932,84.38249797721974,100.32156941589828,130.12450069157828,5484.109022254484,-5353.984521562907,1.355463548870607,57.126135648484215,-55.77067209961361,25.961757283424003,0.2704349717023334,1922.0500890793185,0.8627450980392157,44.0,0.4888888888888889,22.0,0.5111111111111111,23.0,0.13725490196078433,7.0,0.6666666666666666,0.8627450980392157,0.7521367521367521,0.7104575163398693,0.625,0.32433494302537386,0.6756650569746262,0.375,0.6015625000000001,0.625,0.5986369151093728,0.655317874465201,0.031,0.0,0.03125,0.0,27624.0,89035.0,11770.0,'Number of leaves: 61\nSize of the tree: 121\n',121.0,61.0,61.0
LiuSelectedDataFirstTerm,6,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,59.0,37.0,0.0,61.458333333333336,38.541666666666664,0.0,0.3007874015748032,0.32682294782211346,0.464884051836371,85.56638933573795,106.27607248639794,130.12450069157828,11918.175839242493,-11788.051338550915,1.355463548870607,124.1476649921093,-122.7922014432387,25.033688718101633,0.26076759081355866,1853.3415556323748,0.8431372549019608,43.0,0.4,18.0,0.6,27.0,0.1568627450980392,8.0,0.7049180327868853,0.8431372549019608,0.7678571428571429,0.7156862745098039,0.6145833333333334,0.29746552929215914,0.7025344707078408,0.3854166666666667,0.5895725814612427,0.6145833333333334,0.5957227929254139,0.6374837177532088,0.031,0.0,0.03125,0.0,38852.0,89035.0,11770.0,'Number of leaves: 89\nSize of the tree: 177\n',177.0,89.0,89.0
LiuSelectedDataFirstTerm,6,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,861.0,96.0,52.0,44.0,0.0,54.166666666666664,45.833333333333336,0.0,0.13637292987119193,0.32915903206382463,0.4623960847101515,86.17800579376016,105.70730405133244,130.12450069157828,4418.932380596491,-4288.8078799049135,1.355463548870607,46.03054563121345,-44.67508208234285,24.498839423476404,0.2551962439945459,1813.7445775404954,0.7450980392156863,38.0,0.6,27.0,0.4,18.0,0.2549019607843137,13.0,0.5846153846153846,0.7450980392156863,0.6551724137931034,0.5917211328976035,0.5416666666666666,0.415589655610624,0.5844103443893761,0.4583333333333333,0.5362713675213675,0.5416666666666666,0.5190005157677572,0.608604814426512,0.047,0.0,0.046875,0.0,34441.0,89035.0,11770.0,'Number of leaves: 78\nSize of the tree: 155\n',155.0,78.0,78.0
LiuSelectedDataFirstTerm,6,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,862.0,95.0,56.0,39.0,0.0,58.94736842105263,41.05263157894737,0.0,0.28640215716486894,0.32428274904588733,0.48213927113494726,85.35168763723232,110.87907594959319,126.85880756637064,12993.502902901511,-12866.644095335141,1.335355869119691,136.77371476738432,-135.43835889826465,27.516172769185612,0.28964392388616433,2033.7853595500424,0.6862745098039216,35.0,0.29545454545454547,13.0,0.7045454545454546,31.0,0.3137254901960784,16.0,0.7291666666666666,0.6862745098039216,0.7070707070707071,0.7000891265597148,0.5894736842105263,0.2829902451689477,0.7170097548310523,0.4105263157894737,0.5991002844950214,0.5894736842105263,0.5937127507764627,0.638985015392604,0.032,0.0,0.03125,0.0,43664.0,89136.0,11669.0,'Number of leaves: 101\nSize of the tree: 201\n',201.0,101.0,101.0
LiuSelectedDataFirstTerm,6,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01510151426E7,862.0,95.0,44.0,51.0,0.0,46.31578947368421,53.68421052631579,0.0,0.047384978372001535,0.3653486955478983,0.5354562079306445,96.16030403350862,123.14053863952023,126.85880756637064,16233.715909363307,-16106.857101796937,1.335355869119691,170.88122009856113,-169.54586422944143,11.444496005199046,0.12046837900209521,845.8897470242787,0.5686274509803921,29.0,0.5454545454545454,24.0,0.45454545454545453,20.0,0.43137254901960786,22.0,0.5471698113207547,0.5686274509803921,0.5576923076923078,0.5483511586452763,0.4631578947368421,0.4283798820518526,0.5716201179481473,0.5368421052631579,0.45929403268032865,0.4631578947368421,0.4610026196713504,0.5444228700715849,0.031,0.0,0.03125,0.0,40857.0,89136.0,11669.0,'Number of leaves: 94\nSize of the tree: 187\n',187.0,94.0,94.0
