hsgpa,SUPER V,SUPER M,NONSTEM INDEX,AL,termhrs,Math Tier,CRS1 ,gradeN,1TG Bla,1T GD b,Change,RATE
2.83,470,420,3154,4,16,2,111,0,1.846,0.984,0,G
3.68,630,630,4074,4,12,,,,3.417,0.263,1,G
2.97,580,580,3466,1,15,2,111,1,2.25,0.72,1,N
3.1,600,540,3620,4,16,1,6,4,3.375,-0.275,0,N
3,570,530,3500,3,16,2,120,2,2.813,0.187,1,G
3.69,560,680,4192,1,16,,,,3.6,0.09,1,G
2.31,530,530,2848,2,16,1,6,2,1.6,0.71,1,N
2.59,470,470,2932,1,15,2,111,0,3,-0.41,0,G
3.4,580,740,4040,2,17,2,112,3,3.25,0.15,0,G
3.25,520,500,3620,2,15,2,111,1,2.4,0.85,0,G
3.68,600,600,4084,1,15,2,111,3,3.067,0.613,0,N
3.67,700,580,4216,4,16,1,6,0, ,,0,N
3.86,650,650,4288,0,16,,,,4,-0.14,0,G
3.25,540,540,3580,4,15,,,,2.364,0.886,1,G
3.03,570,570,3554,2,15,2,111,1,1.714,1.316,0,N
3.96,800,800,4578,3,16,,,,3.8,0.16,1,G
3.14,520,440,3472,1,16,3,241,0,2.833,0.307,1,N
3.63,500,540,3914,3,15,1,6,2,2.867,0.763,0,G
3.65,520,500,3940,0,16,3,242,2,2.667,0.983,0,G
2.41,550,500,2978,0,16,1,6,0,0.533,1.877,0,N
3.06,470,470,3358,0,17,1,5,4,3.438,-0.378,1,G
3.11,490,490,3408,0,12,,,,2.25,0.86,1,G
2.94,500,580,3352,4,16,2,112,2,1.4,1.54,0,G
3.45,610,610,3930,0,16,1,6,1,0.818,2.632,1,G
3,400,400,3120,2,14,2,111,0,1.231,1.769,1,N
2.7,200,200,2560,2,16,1,6,2,2.813,-0.113,0,G
3.79,490,640,4162,4,13,2,112,3,3.538,0.252,0,G
3.21,460,500,3508,4,16,1,6,1,2.125,1.085,1,G
2.7,440,440,3000,2,17,1,6,2,2.059,0.641,0,G
2.07,540,540,2636,0,12,,,,1.333,0.737,0,N
3.8,800,600,4440,0,16,2,112,4,4,-0.2,0,N
2.78,510,540,3234,1,17,2,112,3,3.188,-0.408,0,G
2.43,530,530,2894,0,16,1,6,4,2.4,0.03,0,G
2.75,490,490,3070,3,14,1,6,0,1.154,1.596,0,G
3.36,350,580,3618,3,14,,,,2,1.36,1,G
2.95,520,620,3500,1,16,2,112,1,3,-0.05,0,G
2.6,480,440,3000,0,13,,,,2.778,-0.178,0,G
2.3,500,500,2760,1,13,1,6,1,1.75,0.55,1,G
2.96,600,600,3568,3,16,2,111,1,2.875,0.085,1,N
2.43,530,530,2964,4,14,1,6,3,1.833,0.597,0,N
2.7,480,440,3080,2,14,2,111,0,0,2.7,0,N
3.25,520,440,3560,4,16,1,6,2,2.467,0.783,0,N
3.3,580,520,3740,0,16,2,111,2,2.8,0.5,0,G
3.94,640,640,4432,1,15,2,120,4,3.2,0.74,0,G
3.3,580,570,3790,0,15,2,112,2,2.5,0.8,0,N
2.55,540,500,3080,0,12,,,,3.25,-0.7,0,N
2.9,450,500,3270,3,14,1,6,4,3.538,-0.638,1,G
2.76,640,460,3308,2,16,2,111,2,2.333,0.427,0,G
2.7,510,390,3060,4,16,1,6,1,0.667,2.033,0,N
3,510,430,3340,3,14,1,6,2,2.385,0.615,0,N
3.82,540,540,4066,2,16,2,111,4,3.8,0.02,0,G
3.16,470,440,3438,3,16,1,6,4,3.063,0.097,0,N
3.14,550,560,3592,0,13,2,111,2,2.75,0.39,0,G
3.48,600,500,3884,4,16,1,6,2,2.846,0.634,0,G
3.3,600,540,3780,3,16,1,6,4,3.6,-0.3,1,N
3.75,570,570,4080,3,16,1,6,4,3,0.75,0,G
2.6,520,520,3030,4,16,2,120,3,2.875,-0.275,0,G
3.72,700,630,4306,2,16,2,120,3,3.375,0.345,0,G
3.81,600,620,4178,4,16,2,111,4,3.2,0.61,0,G
2.73,560,560,3224,4,15,2,112,4,3.786,-1.056,0,G
2.73,420,410,3014,2,17,1,6,0,2.357,0.373,0,G
3.3,570,570,3720,4,16,,,,2.75,0.55,0,G
3.03,470,470,3254,3,16,1,6,2,2.188,0.842,1,G
3.28,600,600,3754,3,16,1,6,3,3.25,0.03,1,G
2.7,530,530,3220,0,16,2,111,1,2.2,0.5,0,G
3.82,600,600,4196,4,16,2,112,4,4,-0.18,0,N
2.68,590,590,3324,1,15,2,111,0,1.714,0.966,1,N
3.46,580,580,3908,3,15,2,111,2,3,0.46,1,G
3.15,600,600,3700,4,16,2,112,0,3.333,-0.183,0,G
3.6,610,610,4090,4,16,2,111,3,3.625,-0.025,0,G
3.16,640,640,3728,2,15,2,112,2,3.214,-0.054,1,G
2.97,550,640,3536,4,16,2,120,4,3.063,-0.093,0,N
3.54,510,620,3962,3,16,2,112,4,3.4,0.14,1,N
2.36,540,540,2878,4,14,1,6,3,2,0.36,0,G
2.25,630,630,3050,3,12,,,,1.75,0.5,1,N
3.3,430,410,3480,0,14,2,111,0,2,1.3,0,N
2.72,410,410,2936,2,14,2,111,1,2.5,0.22,1,N
3.01,520,500,3428,3,13,2,111,2,2.5,0.51,0,G
3.86,700,660,4448,2,16,,,,4,-0.14,0,G
3,640,640,3550,2,13,2,112,0,2.2,0.8,0,G
3.4,630,630,3950,4,16,2,112,4,3.8,-0.4,1,G
2.7,490,500,3150,4,15,2,111,2,2.733,-0.033,0,G
3.78,740,790,4554,4,16,3,242,3,3.563,0.217,0,G
2.68,600,600,3214,4,17,2,120,4,2.706,-0.026,0,G
3.7,750,750,4300,4,17,3,241,2,3.688,0.012,1,G
2.78,450,540,3194,3,14,1,5,3,2.308,0.472,1,N
2.23,590,450,2824,0,16,1,6,0,0,2.23,0,N
3.01,500,490,3398,0,13,2,111,1,1.462,1.548,1,N
2.3,550,550,2830,4,14,1,6,0,0,2.3,0,N
2,600,600,2720,3,16,,,,3.067,-1.067,0,G
3.1,550,550,3530,0,12,,,,2.25,0.85,1,G
3.8,720,720,4270,0,16,,,,4,-0.2,0,G
3.23,480,480,3514,4,16,1,6,0,1.6,1.63,1,N
2.28,570,400,2794,0,17,1,6,0,0.214,2.066,0,N
3.3,580,580,3780,0,16,2,111,0, ,,0,N
3.62,650,650,4136,0,16,2,111,3,3.6,0.02,0,N
