hsgpa,SUPER V,SUPER M,NONSTEM INDEX,AL,termhrs,Math Tier,CRS1 ,gradeN,1TG Bla,1T GD b,Change,RATE
2.15,500,500,2720,4,15,2,111,0,2.2,-0.05,0,N
3.3,720,630,3990,0,16,2,112,2,2.4,0.9,0,G
3.41,590,460,3778,4,14,1,6,0,1.357,2.053,0,G
3.25,600,580,3780,4,16,,,,3.4,-0.15,0,G
2.88,390,360,3054,3,14,,,,2.75,0.13,1,G
3.1,470,480,3380,3,13,2,120,3,3.077,0.023,0,G
2.81,590,590,3248,2,17,2,111,2,1.5,1.31,1,N
3.7,500,500,3900,0,17,2,111,3,2.25,1.45,1,G
3.69,580,620,4152,1,16,2,111,2,2.6,1.09,0,G
2.94,670,670,3562,2,13,2,112,4,2.917,0.023,0,G
3.3,600,580,3820,2,13,2,111,0,1.231,2.069,0,N
3.41,560,560,3788,3,16,2,111,2,2.313,1.097,1,N
2.72,470,470,3036,3,15,1,6,1,1.857,0.863,0,N
3.2,560,650,3770,0,14,,,,0.857,2.343,1,N
3.08,600,600,3544,0,19,3,241,4, ,,0,G
3.3,450,450,3490,2,14,1,6,4,2.786,0.514,0,G
3.3,560,560,3690,4,14,2,111,4,4,-0.7,0,G
3.94,600,570,4322,1,17,1,6,4,2.538,1.402,0,G
3.41,430,430,3578,4,16,2,112,4,2.867,0.543,0,N
2.7,560,560,3220,1,17,2,111,1,2.563,0.137,0,G
3.75,460,390,3850,4,16,1,5,0,0.267,3.483,0,N
3.75,530,510,4040,4,15,2,111,1,2.357,1.393,0,N
3.1,620,530,3630,0,16,1,6,0,0.063,3.037,0,N
3.09,500,490,3462,0,16,1,6,4,1.313,1.777,0,N
4,760,630,4590,0,16,2,112,4,4,0,1,G
3.6,440,460,3730,3,16,1,6,1,2.8,0.8,1,G
3.64,620,520,4052,2,13,2,112,0, ,,1,N
3.4,580,540,3840,0,13,1,6,0,0.231,3.169,0,N
2.7,460,400,3020,3,16,2,112,4,1.933,0.767,0,N
3.39,350,460,3522,4,15,1,6,3,2.143,1.247,0,N
2.64,420,390,2922,3,16,1,6,2,2,0.64,0,G
3.3,540,540,3500,4,17,2,112,4,3.375,-0.075,0,G
2.75,440,440,3060,1,17,1,6,1,2.667,0.083,0,N
2.65,540,510,3170,0,12,2,111,0, ,,0,N
3.3,590,590,3810,3,16,2,112,2,2.467,0.833,0,G
2.78,410,410,3024,0,17,2,111,1,1.588,1.192,1,N
3.9,560,600,4280,0,16,,,,3.467,0.433,0,G
3.41,500,580,3778,3,17,1,6,0,1.154,2.256,0,G
4,670,670,4380,3,16,,,,4,0,1,G
3.2,390,420,3370,0,14,1,6,2,2.462,0.738,1,N
3.4,520,520,3700,2,16,,,,3.067,0.333,1,G
2.87,360,460,3116,3,15,4,140,1,2.4,0.47,1,N
3.05,520,500,3460,3,16,2,111,2,2.067,0.983,0,N
3,470,470,3310,0,17,1,5,3,3.25,-0.25,0,N
2.85,520,510,3310,2,16,2,112,4,3.6,-0.75,0,G
2.75,660,660,3460,0,17,1,6,0,0.647,2.103,0,N
2.96,620,420,3408,2,16,1,6,0,2.875,0.085,1,G
2.96,480,480,3318,4,16,1,6,0,1.625,1.335,0,N
3.21,540,600,3708,4,16,2,111,4,3.133,0.077,0,G
2.15,520,390,2630,0,16,1,6,0,1,1.15,1,N
3.64,540,560,4012,0,13,2,112,1,1,2.64,1,N
3.26,440,500,3548,0,15,1,6,2,2.2,1.06,0,N
2.8,430,430,3080,2,17,1,6,1,2,0.8,0,N
3.91,730,670,4528,3,17,3,241,2,2.588,1.322,0,G
3,600,520,3520,0,16,1,6,3,3.467,-0.467,1,N
2.4,560,440,2920,0,17,,,,0.357,2.043,1,N
3.23,550,480,3614,4,16,2,111,2,3.063,0.167,0,G
2.7,550,550,3180,4,16,2,112,2,2.188,0.512,0,G
3.42,660,650,4046,3,16,3,241,2,4,-0.58,0,N
2.3,490,460,2790,4,16,1,6,0,1.25,1.05,1,G
3.66,670,620,4218,3,15,,,,4,-0.34,1,G
3.38,450,450,3504,0,15,2,112,2,2.5,0.88,1,N
3.37,540,430,3666,3,16,1,6,4,3.267,0.103,0,G
3.43,730,730,4054,3,16,2,112,4,3.6,-0.17,0,G
3,620,620,3590,0,16,,,,1.133,1.867,1,N
3.45,610,680,4050,1,16,2,111,0,1.563,1.887,0,G
1.97,560,560,2556,0,15,2,111,0, ,,0,N
3.68,500,500,3924,0,13,1,6,0,0.75,2.93,0,N
3.55,680,680,3970,0,16,2,111,4,2.133,1.417,0,N
3.02,540,540,3496,3,16,1,6,2,1.933,1.087,0,G
3.92,620,640,4396,0,16,2,112,2,3.438,0.482,0,G
3.64,340,440,3692,3,16,2,111,1,2.667,0.973,0,N
3.7,560,430,3950,3,16,2,111,2,3.067,0.633,0,G
3.75,540,560,4100,4,16,2,111,2,3.4,0.35,1,G
3.6,520,520,3900,3,16,2,111,0, ,,1,N
2.94,690,720,3712,0,16,2,112,4,3.467,-0.527,0,N
