hsgpa,Superset,AL,termhrs,Math Tier,gradeN,1TG zer,1T GD z,Change,CG Bla,FG D z,RATE.NND
3.7,1260,1,17,4,0,1.308,2.392,0,1.76,1.94,N
2.64,810,3,16,1,2,2,0.64,0,2.68,-0.04,G
3.3,860,4,17,2,4,3.375,-0.075,0,3.379,-0.079,G
2.75,860,1,17,1,1,2.667,0.083,0,2.667,0.083,N
2.65,1050,0,12,2,0,0,2.65,0, ,2.65,N
3.8,1160,1,16,4,2,2.938,0.862,1,3.729,0.071,G
3.3,1170,3,16,2,2,2.467,0.833,0,3.017,0.283,G
2.78,800,0,17,2,1,1.588,1.192,1,1.588,1.192,N
3.9,1160,0,16,,,3.467,0.433,0,3.478,0.422,G
3.41,1050,3,17,1,0,1.154,2.256,0,2.613,0.797,G
4,1180,3,16,,,4,0,1,4,0,G
3.2,810,0,14,1,2,2.462,0.738,1,1.771,1.429,N
3.3,960,0,15,4,2,2.2,1.1,0,2.864,0.436,G
3.21,1280,2,16,4,2,2.188,1.022,0,2.188,1.022,N
3.4,980,2,16,,,3.067,0.333,1,3.143,0.257,G
2.51,760,4,13,1,2,1.615,0.895,1,1.97,0.54,G
2.87,820,3,15,4,1,2.4,0.47,1,2.4,0.47,N
3.83,1490,0,17,5,3,3.588,0.242,0,3.356,0.474,G
3.05,1020,3,16,2,2,2.067,0.983,0,2.067,0.983,N
3.41,1410,0,16,4,3,3.188,0.222,1,3.318,0.092,N
3,910,0,17,1,3,3.25,-0.25,0,3.25,-0.25,N
3.46,1150,0,13,4,3,2.462,0.998,0, ,3.46,N
2.85,1030,2,16,2,4,3.6,-0.75,0,3.472,-0.622,G
2.75,1260,0,17,1,0,0.647,2.103,0,2.302,0.448,N
2.96,1040,2,16,1,0,2.875,0.085,1,3.011,-0.051,G
3,1110,2,15,4,1,2.333,0.667,0, ,3,N
2.96,950,4,16,1,0,1.625,1.335,0, ,2.96,N
2.48,1120,4,15,4,4,3.8,-1.32,0,2.927,-0.447,G
3.21,1140,4,16,2,4,3.133,0.077,0,3.121,0.089,G
2.15,910,0,16,1,0,1,1.15,1,1.381,0.769,N
3.64,1100,0,13,2,1,1,2.64,1,2,1.64,N
3.26,940,0,15,1,2,2.2,1.06,0,2.03,1.23,N
2.8,840,2,17,1,1,2,0.8,0,2.342,0.458,N
3.35,1150,0,17,4,2,1.571,1.779,0,1.571,1.779,N
3.91,1400,3,17,3,2,2.588,1.322,0,4,-0.09,G
3.86,1140,4,15,4,3,3.2,0.66,0, ,3.86,N
3,1120,0,16,1,3,3.467,-0.467,1,2.707,0.293,N
2.66,1080,1,14,4,2,2.571,0.089,1,2.971,-0.311,G
2.4,1000,0,17,,,0.357,2.043,1,0.357,2.043,N
3.23,1030,4,16,2,2,3.063,0.167,0,2.93,0.3,G
2.7,1020,4,16,2,2,2.188,0.512,0,3.246,-0.546,G
3.42,1310,3,16,3,2,4,-0.58,0, ,3.42,N
2.3,950,4,16,1,0,1.25,1.05,1,2.308,-0.008,G
3.4,1200,4,17,4,3,2.941,0.459,0,3.322,0.078,G
3.91,1250,4,16,4,4,3.5,0.41,0,3.233,0.677,G
3.48,1200,1,16,4,4,3.813,-0.333,0,3.518,-0.038,G
3.66,1290,3,15,,,4,-0.34,1,3.763,-0.103,G
3.42,1190,1,15,4,1,2.583,0.837,0,2.957,0.463,G
3.7,1150,0,16,4,3,3.583,0.117,0,3.233,0.467,G
3.38,800,0,15,2,2,2.5,0.88,1,2.5,0.88,N
3.38,1090,1,16,4,3,3,0.38,0,2.849,0.531,G
3.37,970,3,16,1,4,3.267,0.103,0,3.15,0.22,G
3.43,1310,3,16,2,4,3.6,-0.17,0,3.813,-0.383,G
3.82,1400,4,16,4,3,3.375,0.445,0,3.109,0.711,G
3.6,890,3,16,4,0,0,3.6,0,2.45,1.15,N
3,1190,0,16,,,1.133,1.867,1, ,3,N
3.01,780,2,16,4,2,2.692,0.318,1,2.661,0.349,G
3.45,1290,1,16,2,0,1.563,1.887,0,2.61,0.84,G
3.7,1300,2,16,4,2,1.688,2.012,1,1.688,2.012,N
3.6,1180,3,17,4,4,2.941,0.659,1,2.941,0.659,N
1.97,980,0,15,2,0,0,1.97,0,1.5,0.47,N
3.68,980,0,13,1,0,0.75,2.93,0,0.75,2.93,N
3.74,690,1,17,,,0,3.74,0, ,3.74,N
3.98,1320,4,16,4,3,2.813,1.167,1,3.025,0.955,N
3.55,1130,0,16,2,4,2.133,1.417,0, ,3.55,N
3.61,1510,1,17,4,2,3.286,0.324,1,3.236,0.374,G
3.95,1280,4,16,3,3,3.375,0.575,0,3.394,0.556,G
3.74,1050,4,16,2,2,3.25,0.49,0,3.25,0.49,N
3.05,1240,0,17,4,3,3.412,-0.362,1,3.291,-0.241,G
3.02,1080,3,16,1,2,1.933,1.087,0,2.826,0.194,G
3.92,1260,0,16,2,2,3.438,0.482,0,3.674,0.246,G
3.64,780,3,16,2,1,2.667,0.973,0,2.667,0.973,N
3.95,1160,0,16,4,0,3.5,0.45,0, ,3.95,N
3.7,990,3,16,2,2,3.067,0.633,0,3.127,0.573,G
3.75,1100,4,16,2,2,3.4,0.35,1,3.393,0.357,G
3.6,1020,3,16,2,0,0,3.6,1,1,2.6,N
3.21,1060,3,15,4,0,2.267,0.943,1,2.071,1.139,N
2.94,1360,0,16,2,4,3.467,-0.527,0,3.65,-0.71,N
3.48,1040,1,15,1,4,3.25,0.23,0,3.25,0.23,N
3.43,1000,2,17,2,2,3.059,0.371,0,3.059,0.371,N
4,1300,3,15,4,4,3.8,0.2,1,3,1,N
2.53,920,0,13,2,0,0.667,1.863,0,2.286,0.244,N
3.7,1110,4,16,3,0,0.769,2.931,0,0.769,2.931,N
3.07,880,3,15,1,2,2.467,0.603,0,2.31,0.76,G
2.6,840,3,14,,,0,2.6,0, ,2.6,N
2.67,980,4,16,1,1,2.467,0.203,1,2.641,0.029,N
2.3,940,2,16,1,2,1.875,0.425,0,2.16,0.14,N
4,1020,1,16,3,3,3,1,0, ,4,N
3.23,1240,2,16,2,2,3.067,0.163,0,3.518,-0.288,G
3.27,1010,3,16,1,2,2.25,1.02,1,2.25,1.02,N
3.3,1050,3,16,2,0,0,3.3,1, ,3.3,N
2.7,600,0,14,1,0,1.308,1.392,0,2.11,0.59,N
3.532,1080,0,14,,,0,3.532,0, ,3.532,N
3,1130,3,16,2,0,1.867,1.133,1,1.867,1.133,N
3.67,950,4,17,4,3,2.706,0.964,0,2.482,1.188,G
3.7,870,0,16,2,0,1.375,2.325,0,1.667,2.033,N
3.43,740,3,17,1,4,3.412,0.018,0,3.607,-0.177,G
3.9,1430,0,16,2,4,3.313,0.587,0,3.457,0.443,G
3.86,1310,4,16,4,4,4,-0.14,1,3.512,0.348,G
4,1120,4,16,4,3,3,1,1,2.944,1.056,G
3.13,1090,3,15,4,1,1.533,1.597,0,1.533,1.597,N
3.56,950,3,16,2,3,2.867,0.693,0,2.991,0.569,G
3,1170,2,17,2,0,0.385,2.615,1, ,3,N
3.24,1020,3,16,2,1,2.2,1.04,0,2.071,1.169,N
3.3,1220,3,14,4,1,2.154,1.146,0,2.818,0.482,N
3,1010,4,16,4,0,0.625,2.375,1,0.769,2.231,N
2.95,930,4,14,4,0,1.286,1.664,0,1.286,1.664,N
3.07,990,4,15,2,1,2.6,0.47,0,2.412,0.658,N
2.87,820,3,15,1,3,3,-0.13,0,2.568,0.302,G
3.42,1280,2,12,,,4,-0.58,0,4,-0.58,N
2.46,780,4,13,2,0,0.444,2.016,0,0.833,1.627,N
3.9,1550,1,14,5,3,3.357,0.543,1,3.419,0.481,G
2.59,860,1,14,2,2,1.643,0.947,0,2.014,0.576,N
2.9,1050,4,15,3,0,0.417,2.483,0,0.417,2.483,N
3.25,1320,1,14,4,4,2.929,0.321,0,2.723,0.527,G
3.01,1120,0,17,4,1,1.643,1.367,0,2.441,0.569,G
3.68,1270,3,16,4,4,3.813,-0.133,1,3.241,0.439,G
3,1090,3,16,4,3,2.875,0.125,1,2.875,0.125,N
