CASENUM,hsgpa,SUPER V,SUPER M,Superset,STEMINDEX,NONSTEM INDEX,AL,FAR,SEX,ETHNIC,ACPROG1,termhrs,Math Tier,CRS1 ,CRS1 name,c1 grade,gradeN,C2 ID,C2 Name,C2 Grade,grade2N,1TG Bla,1TG zer,1T GD b,1T GD z,ACPROG2,Change,C F STEM,C T STEM,STEM1,CUMHRS2,CG Bla,CG 0,FG D b,FG D z,RATE,RATE.WSD
248,3.17,510,580,1070,3552,3606,2,1,2,7,BSAS,16,2,111,College Math for Aviation I,B,3,,,,,2.667,2.667,0.503,0.503,BSAS,0,0,0,0,30,2.833,2.833,0.337,0.337,N,W
281,3.81,560,580,1140,4006,4188,3,1,2,7,BSAE,17,4,241,Calculus & Analytical Geom I,B,3,,,,,3.286,3.286,0.524,0.524,BSAS,0,1,0,1,106,3.717,3.717,0.093,0.093,G,G
332,3.79,580,580,1120,3974,4152,4,1,2,5,BSCE,15,4,242,Calculus & Analytical Geom II,A,4,,,,,3.2,3.2,0.59,0.59,BSCE,1,0,0,1,95,3.662,3.662,0.128,0.128,G,G
379,3.57,660,620,1280,4042,4136,4,1,2,7,BSAE,16,4,241,Calculus & Analytical Geom I,A,4,,,,,3.125,3.125,0.445,0.445,BSAE,1,0,0,1,16,3.125,3.125,0.445,0.445,N,W
381,3.5,730,730,1250,4080,4050,2,1,2,4,BSAE,16,4,241,Calculus & Analytical Geom I,A,4,,,,,3.813,3.813,-0.313,-0.313,BSAE,1,0,0,1,126,3.492,3.492,0.008,0.008,G,G
394,3.34,470,480,950,3434,3622,3,1,1,7,BSAS,15,,,,,,,,,,2,2,1.34,1.34,BSHS,0,0,0,0,110,3.171,3.171,0.169,0.169,G,G
411,3.9,620,620,1220,4180,4340,4,1,2,7,BSSP,16,4,241,Calculus & Analytical Geom I,C,2,,,,,2.5,2.5,1.4,1.4,BSSP,0,0,0,1,19,1.433,1.433,2.467,2.467,N,W
418,2.48,460,460,880,2828,2864,2,1,1,7,BSAE,13,1,6,Intermediate Algebra,C,2,,,,,3.077,3.077,-0.597,-0.597,BSAE,0,0,0,1,22,2.071,2.071,0.409,0.409,N,S
422,3.3,570,570,1100,3650,3740,3,1,1,7,BSAS,15,2,111,College Math for Aviation I,C,2,,,,,2,2,1.3,1.3,BSAS,0,0,0,0,27,1.889,1.889,1.411,1.411,N,S
450,3.7,470,480,950,3650,3910,4,1,2,2,BSAS,16,2,111,College Math for Aviation I,B,3,,,,,3.25,3.25,0.45,0.45,BSHS,1,0,0,0,106,3.333,3.333,0.367,0.367,G,G
465,2.8,450,440,890,3010,3130,2,1,1,2,BSAE,17,4,140,College Algebra,D,1,142,Trigonometry,C,2,1.882,1.882,0.918,0.918,BSAE,0,0,0,1,0, ,0,,2.8,N,W
500,3.74,630,590,1220,4054,4212,4,1,2,7,BSAS,16,2,112,College Math for Aviation II,B,3,,,,,2.867,2.867,0.873,0.873,BSHFP,1,0,0,0,92,3.478,3.478,0.262,0.262,G,G
531,3.57,510,510,1020,3672,3876,4,1,1,5,BSAE,17,4,241,Calculus & Analytical Geom I,F,0,,,,,0.941,0.941,2.629,2.629,BSAE,0,0,0,1,10,0.941,0.941,2.629,2.629,N,S
569,3.3,470,450,920,3350,3560,4,1,2,2,BSAS,16,3,241,Calculus & Analytical Geom I,A,4,,,,,2.583,2.583,0.717,0.717,BSAS,0,0,0,0,149,3,3,0.3,0.3,G,G
577,3.34,580,560,1140,3704,3812,2,1,2,7,BSAS,16,2,112,College Math for Aviation II,B,3,,,,,2.833,2.833,0.507,0.507,BSHS,1,0,0,0,141,3.643,3.643,-0.303,-0.303,G,G
581,3.3,550,550,1100,3630,3740,4,1,2,2,BSAE,17,4,241,Calculus & Analytical Geom I,D,1,,,,,2.143,2.143,1.157,1.157,BSHFP,0,1,0,1,123,3.48,3.48,-0.18,-0.18,G,G
585,2.99,560,560,870,3224,3262,2,1,2,4,BSATM,14,2,112,College Math for Aviation II,B,3,,,,,1.071,1.071,1.919,1.919,BSATM,0,0,0,0,109,2.585,2.585,0.405,0.405,G,G
586,3.35,610,580,1190,3780,3870,4,1,2,7,BSAE,15,1,6,Intermediate Algebra,C,2,,,,,1.067,1.067,2.283,2.283,BSAE,1,0,0,1,6,1.067,1.067,2.283,2.283,N,S
592,3.56,560,560,1050,3746,3898,3,1,1,7,BSSP,16,4,241,Calculus & Analytical Geom I,D,1,,,,,2.5,2.5,1.06,1.06,BSHFP,0,1,0,1,118,2.509,2.509,1.051,1.051,N,W
604,3,460,460,880,3140,3280,2,1,2,2,BSAE,14,4,241,Calculus & Analytical Geom I,D,1,,,,,2.071,2.071,0.929,0.929,BSME,1,0,0,1,23,2.1,2.1,0.9,0.9,N,S
605,2.99,380,380,680,2854,3072,3,1,2,4,BSATM,17,1,6,Intermediate Algebra,C,2,,,,,2.471,2.471,0.519,0.519,BSSS,0,0,0,0,145,3.264,3.264,-0.274,-0.274,G,G
669,2.783,520,520,990,3179.8,3216.4,4,1,2,2,BSASP,17,1,6,Intermediate Algebra,C,2,,,,,1.824,1.824,0.959,0.959,BSSS,0,0,0,0,115,2.538,2.538,0.245,0.245,G,G
684,3.22,600,570,1170,3672,3746,4,1,1,7,BSME,16,2,112,College Math for Aviation II,D,1,,,,,1.4,1.4,1.82,1.82,BSME,0,0,0,1,5,3,3,0.22,0.22,N,W
702,3.9,600,590,1190,4120,4310,3,1,1,7,BSAE,16,4,241,Calculus & Analytical Geom I,C,2,,,,,2.25,2.25,1.65,1.65,BSAE,0,0,0,1,44,2.553,2.553,1.347,1.347,N,W
713,2.59,590,480,1070,3104,3142,3,1,2,5,BSAS,17,2,111,College Math for Aviation I,F,0,,,,,1.733,1.733,0.857,0.857,BSAS,1,0,0,0,12,1.733,1.733,0.857,0.857,N,W
775,3.7,540,580,1120,3920,4080,3,1,2,7,BSAS,16,2,112,College Math for Aviation II,B,3,,,,,3.467,3.467,0.233,0.233,BSAS,1,0,0,0,106,3.33,3.33,0.37,0.37,G,G
777,2.98,410,410,780,2978,3164,2,1,2,7,BSHS,13,2,111,College Math for Aviation I,F,0,,,,,0.231,0.231,2.749,2.749,BSHS,0,0,0,0,0, ,0,,2.98,N,W
780,2.71,380,380,740,2746,2908,2,1,2,4,BSAS,14,1,6,Intermediate Algebra,B,3,,,,,2.357,2.357,0.353,0.353,BSATM,0,0,0,0,112,2.69,2.69,0.02,0.02,G,G
796,2.92,550,550,1070,3372,3406,2,1,2,7,BSAS,17,1,6,Intermediate Algebra,AU,0,,,,,0.643,0.643,2.277,2.277,BSAS,0,0,0,0,9,0.692,0.692,2.228,2.228,N,S
797,3,500,500,900,3200,3300,2,1,2,2,BSAE,13,1,6,Intermediate Algebra,A,4,,,,,2.769,2.769,0.231,0.231,BSAE,1,0,0,1,143,2.33,2.33,0.67,0.67,G,G
805,2.98,450,430,880,3098,3264,4,1,2,2,BSAE,15,4,140,College Algebra,C,2,142,Trigonometry,C,2,1.667,1.667,1.313,1.313,BSAE,0,0,0,1,9,1.667,1.667,1.313,1.313,N,W
809,2.34,490,490,940,2834,2812,4,1,2,5,BSAE,15,4,241,Calculus & Analytical Geom I,D,1,,,,,1.25,1.25,1.09,1.09,BSAE,1,0,0,1,15,1.619,1.619,0.721,0.721,N,S
834,3.3,700,700,1330,4010,3970,4,1,2,5,BSAE,16,4,242,Calculus & Analytical Geom II,B,3,,,,,3.188,3.188,0.112,0.112,BSAE,0,0,0,1,20,3.188,3.188,0.112,0.112,N,W
851,3.45,460,480,930,3480,3690,3,1,2,5,NDCOE,17,4,241,Calculus & Analytical Geom I, ,0,,,,, ,0,,3.45,NDCOE,0,0,0,1,0, ,0,,3.45,N,W
853,3.9,420,500,920,3760,4040,4,1,2,7,BSAE,16,4,241,Calculus & Analytical Geom I, ,0,,,,, ,0,,3.9,BSAE,0,0,0,1,6, ,0,,3.9,N,W
871,2.74,460,460,850,2954,3042,4,1,2,2,BSATM,17,1,6,Intermediate Algebra,B,3,,,,,1.235,1.235,1.505,1.505,BSATM,1,0,0,0,116,2.209,2.209,0.531,0.531,G,G
896,1.7,610,610,1130,2760,2490,4,1,2,9,BSAE,17,4,241,Calculus & Analytical Geom I,A,4,,,,,2.882,2.882,-1.182,-1.182,BSAE,0,0,0,1,115,2.43,2.43,-0.73,-0.73,G,G
899,2.64,390,420,810,2814,2922,4,1,1,5,BSAS,14,1,6,Intermediate Algebra,F,0,,,,,1.231,1.231,1.409,1.409,BSAS,0,0,0,0,5,1.231,1.231,1.409,1.409,N,S
908,2.31,550,550,1060,2996,2908,2,1,2,7,BSAMS,16,,,,,,,,,,2.6,2.6,-0.29,-0.29,BSAMS,1,0,0,0,10,2.6,2.6,-0.29,-0.29,N,W
